w,WA
Weisberg,ウェルチ
Welch,ようこそ
welcome,溶接
weld,溶接機
welder,溶接
welding,福祉
welfare,よく
well,ウェリントン
Wellington,ウェルネス
wellness,ウェールズ語
Welsh,ウェールズ人
Welshman,ウェルト
welt,ごった返し
welter,ウェルター級
welterweight,瘤
wen,進む
wend,ウェンディ
Wendy,行ってきた
went,狼
werewolf,ウェルト
wert,ウェスリー
Wesley,西
west,ウエストチェスター
Westchester,ウェスタリー
westerly,西部地方の
western,西洋人
westerner,ウェストミンスター
Westminster,ウェストモーランド
Westmoreland,ウェストサイド
westside,西方
westward,ぬれた
wet,湿地帯
wetland,Weydert
Weydert,WG
WG,強打
whack,クジラ
whale,捕鯨船
whaler,ドカン
wham,魔法
whammy,埠頭
wharf,何
what,なんでも
whatever,その他もろもろ
whatnot,全く
whatsoever,小麦
wheat,おしっこ
whee,ホイール
wheel,手押し車
wheelbarrow,車椅子
wheelchair,ウィーラー
wheeler,ウィーリー
wheelie,ホイーリング
wheeling,喘鳴
wheeze,いつ
when,そこから
whence,たびに
whenever,どこ
where,行方
whereabouts,一方
whereas,それによって
whereby,なぜ
wherefore,請求
wherein,そのうち
whereof,すると
whereupon,どこ
wherever,必要な手段
wherewithal,研ぐ
whet,かどうか
whether,やれやれ
whew,乳しょう
whey,どちらの
which,いずれか
whichever,ほのかな香り
whiff,ホイッグ党
Whig,する一方で
while,一方
whilst,気まぐれ
whim,泣く
whimper,気まぐれな
whimsical,気まぐれ
whimsy,駄々をこねる
whine,馬のいななき
whinny,泣き言を言う
whiny,ホイップ
whip,むち打ち
whiplash,whippersnapper
whippersnapper,やすやすと仕上げる
whipsaw,鞭虫
whipworm,ブーンという音
whir,旋回
whirl,回転木馬
whirligig,回転する
whirling,渦
whirlpool,旋風
whirlwind,泡立て器
whisk,ウィスカ
whisker,ウイスキー
whiskey,ウイスキー
whisky,ささやく
whisper,ささやき
whispering,ホイスト
whist,ホイッスル
whistle,内部告発
whistleblower,ホイッスラー
whistler,ほんの少し
whit,白
white,Whitefont
Whitefont,ホワイトホール
Whitehall,ホワイトヘッド
whitehead,ホワイトハウス
whitehouse,白くする
whiten,白色度
whiteness,白人
whites,ごまかし
whitewash,ホワイトウォーター
whitewater,白人
whitey,どこへ
whither,ホワイティング
whiting,白っぽい　
whitish,ホイットマン
Whitman,ホイットニー
Whitney,削る
whittle,達人
whiz,達人
whizz,誰
who,ちょっと待って
whoa,誰でも
whoever,全体
whole,心をこめて
wholeheartedly,卸売り
wholesale,問屋
wholesaler,健康
wholesome,完全に
wholly,誰に
whom,誰
whomever,叫び声を上げる
whoop,ワーイ！
whoopee,百日咳
whooping,whoopus
whoopus,ヒューという音
whoosh,大うそ
whopper,途方もない
whopping,売春婦
whore,渦巻き
whorl,その
whose,WHR
WHR,なぜ
why,ウィスコンシン
WI,wibble
wibble,ウイッカ
Wicca,ウイッカの
Wiccan,ウィチタ
Wichita,芯
wick,邪悪
wicked,いたずらっぽく
wickedly,邪悪
wickedness,枝編み細工
wicker,小門
wicket,広い
wide,広く
widely,広げる
widen,拡大
widening,広い　
wider,広範
widespread,最も幅の広い　
widest,ウィジェット
widget,未亡人
widow,男やもめ
widower,幅
width,振るう
wield,ウィーン
Wien,ウィーナー
wiener,ウィーゼル
wiesel,妻
wife,かつら
wig,小刻みに動かす
wiggle,波状の
wiggly,ワイト
wight,ウィルコ
wilco,野生
wild,山猫
wildcat,ワイルド
Wilde,ワイルダー
wilder,荒野
wilderness,途方もない
wildest,山火事
wildfire,野草
wildflower,野生生物
wildlife,乱暴に
wildly,野生
wildness,野生型
wildtype,誘い込む
wile,意志
will,意志のある
willed,ウィリー
Willey,故意の
willful,故意に
willfully,ウィリアム
William,男根
willie,喜んで
willing,喜んで
willingly,意欲
willingness,柳
willow,意志力
willpower,ウィリー
Willy,ウィルミントン
Wilmington,ウィルシャー
Wilshire,ウィルソン
Wilson,しおれる
wilt,狡猾な
wily,ウィンブルドン
Wimbledon,弱虫
wimp,軟弱な
wimpy,勝利
win,ひるみ
wince,ウインチ
winch,ウィンチェル
Winchell,ウィンチェスター
Winchester,風
wind,おしゃべり
windbag,風に吹かれた
windblown,ウインドブレーカー
windbreaker,棚ぼた
windfall,風車
windmill,窓
window,気管
windpipe,ウィンドロー
windrow,フロントガラス
windshield,ウィンザー
Windsor,暴風
windstorm,ウインドサーフィンをする
windsurf,ウィンドサーフィン
windsurfing,吹きさらしの
windswept,しめくくり
windup,風上
windward,風の強い　
windy,ワイン
wine,ワイングラス
wineglass,ワイナリー
winery,ウイング
wing,翼のある
winged,ウイング
winger,翼幅
wingspan,ウインク
wink,ウィネベーゴ
Winnebago,勝者
winner,勝利
winning,賞金
winnings,ウィニペグ
Winnipeg,選り抜く
winnow,wino
wino,愛きょうのある
winsome,ウィンストン
Winston,冬
winter,ウィンターグリーン
wintergreen,冬
wintertime,冬の
wintry,ワイプ
wipe,ワイパー
wiper,ワイヤー
wire,ワイヤレス
wireless,盗聴
wiretap,配線
wiring,針金の
wiry,ウィスコンシン州
Wisconsin,知恵
wisdom,賢い
wise,気の利いた言葉
wisecrack,賢明に
wisely,賢い　
wiser,希望
wish,希望的観測
wishful,ウィスプ
wisp,かすかな
wispy,藤
wisteria,物欲しそうな
wistful,物憂げに
wistfully,物悲しいこと
wistfulness,ウィット
wit,魔女
witch,魔術
witchcraft,ととも??に
with,撤退する
withdraw,撤退
withdrawal,枯れる
wither,しぼんだ
withered,差し控える
withhold,差し控え
withholding,以内
within,せずに
without,耐える
withstand,ばかな
witless,証人
witness,ウィッター
witter,名言
witticism,頓知をきかせて
wittily,機知に富んだ
witty,ウィザード
wizard,魔法
wizardry,WK
WK,WMD
WMD,のwnt
wnt,WO
WO,すごい迫力
woah,ぐらつき
wobble,グラグラする
wobbly,悲哀
woe,悲惨な
woeful,ひどく
woefully,中華鍋
wok,狼
wolf,ウォルフガング
Wolfgang,クズリ
wolverine,女性
woman,女らしさ
womanhood,女たらし
womanizer,女らしい　
womanly,子宮
womb,ウォンバット
wombat,女性たち
women,ウォン
won,不思議
wonder,素晴らしい
wonderful,素晴らしく
wonderfully,不思議に思う
wondering,ワンダーランド
wonderland,驚くべき
wondrous,驚くほど
wondrously,仕事に専念する
wonk,不安定な
wonky,習慣
wont,ウー
woo,木材
wood,ウッドチャック
woodchuck,木版画
woodcut,樹木が茂った
wooded,木製
wooden,森林
woodland,ウッドマン
woodman,キツツキ
woodpecker,森の住人
woodsman,ウッドストック
Woodstock,森林の
woodsy,木工
woodwork,ウッディ
woody,横糸
woof,ウーファー
woofer,ウール
wool,羊毛の
woolen,ウーリー
woolly,ウーリー
wooly,woozy
woozy,ウスター
Worcester,ウースターシャー
Worcestershire,単語
word,言葉遣い
wording,ワードパーフェクト
wordperfect,しゃれ
wordplay,ワーズワース
Wordsworth,長ったらしい　
wordy,仕事
work,実行可??能な
workable,無味乾燥な
workaday,ワーカホリック
workaholic,ワークベンチ
workbench,ワークブック
workbook,就業日
workday,働いた
worked,労働者
worker,ワークフェア
workfare,労働人口
workforce,ワークグループ
workgroup,働き者
workhorse,ワーキング
working,働き
workings,ワークロード
workload,職人
workman,職人らしい　
workmanlike,技量
workmanship,いい結果になる
workout,workpaper
workpaper,職場
workplace,ワークス
works,ワークシェア
workshare,ワークシェア
workshared,ワークシート
worksheet,ワークショップ
workshop,ワークステーション
workstation,世界
world,ワールドクラス
worldclass,ワールドコム
WorldCom,世俗的な
worldly,世界観
worldview,世界的に
worldwide,ワーム
worm,ヨモギ
wormwood,着用
worn,心配して
worried,心配性の人
worrier,厄介な
worrisome,心配する
worry,厄介な
worrying,もっと悪い
worse,悪化させる
worsen,礼拝
worship,崇拝
worshiped,礼拝者
worshiper,名誉ある
worshipful,崇拝
worshipped,礼拝者
worshipper,最悪
worst,価値
worth,価値のない
worthless,やりがいのある
worthwhile,立派な
worthy,だろう
would,would haveの縮約形
woulda,wouldn
wouldn,傷
wound,負傷した
wounded,織った
wove,ワオ
wow,WP
WP,海草
wrack,生霊
wraith,口論
wrangle,ラングラー
wrangler,論争
wrangling,包む
wrap,ラッパー
wrapper,ラッピング
wrapping,激怒
wrath,もたらす
wreak,花輪
wreath,難破船
wreck,残骸
wreckage,レッカー車
wrecker,ミソサザイ
wren,レンチ
wrench,苦痛を伴う
wrenching,奪い取る
wrest,格闘
wrestle,レスリング
wrestled,レスラー
wrestler,レスリング
wrestling,かわいそうな人
wretch,悲惨な
wretched,リグル
wriggle,ライト
Wright,絞る
wring,絞り器
wringer,しわ
wrinkle,しわの寄った
wrinkled,しわになりやすい　
wrinkly,手首
wrist,腕時計
wristwatch,令状
writ,書く
write,著者
writer,身をよじる
writhe,書き込み
writing,文
writings,間違った
wrong,加害者
wrongdoer,不正行為
wrongdoing,不正な
wrongful,wrongheaded
wrongheaded,誤って
wrongly,不正行為
wrongness,精巧に作られた
wrought,皮肉たっぷりの
wry,WSJ
WSJ,WT
WT,WTC
WTC,世界貿易機関
WTO,WU
WU,神童
wunderkind,WV
WV,第一次世界大戦
WWI,第二次世界大戦
WWII,WWW
WWW,ワイオミング州
WY,路地
wynd,ワイオミング州
Wyoming,x
