n,ナトリウム
nefarious,否定する
negate,否定
negation,負
negative,マイナスに
negatively,陰性
negativity,ネグレクト
neglect,不注意な
neglectful,ネグリジェ
negligee,過失
negligence,怠慢
negligent,ごくわずかな
negligible,交渉できる
negotiable,交渉する
negotiate,交渉された 
negotiated,交渉
negotiating,交渉
negotiation,交渉者
negotiator,黒人
negro,ネール
Nehru,いななき
neigh,隣人
neighbor,ご近所
neighborhood,隣人
neighbour,ご近所
neighbourhood,ニール
Neil,ニール
Neill,どちらでもない
neither,ネリー
nelly,ネルソン
Nelson,線虫
nematode,ネメシス
Nemesis,ネオ
neo,新古典主義の
neoclassical,新皮質の
neocortical,新石器時代
neolithic,新語
neologism,ネオマイシン
neomycin,ネオン
neon,新生児の
neonatal,新生児
neonate,新参者
neophyte,新生物
neoplasm,腫瘍性の
neoplastic,ネオプレン
neoprene,ネパール
Nepal,ネパール人
Nepalese,甥
nephew,腎症
nephropathy,縁故主義
nepotism,ネプチューン
Neptune,オタク
nerd,オタク
nerdy,ネロ
Nero,神経
nerve,神経質な
nervous,神経質に
nervously,緊張
nervousness,神経質な
nervy,岬
ness,巣
nest,入れ子になった
nested,ネスティング
nesting,ネスレ
nestle,寄り添った
nestled,ネストル
Nestor,ネット
net,ネタニヤフ
Netanyahu,ネットフリックス
Netflix,地下の
nether,オランダ
Netherland,ネチズン
netizen,ネットスケープ
Netscape,イラクサ
nettle,いらだたしい
nettlesome,ネットワーク
network,ネットワーク化
networked,ネットワーキング
networking,ノイ
Neu,ニューラル
neural,神経突起
neurite,神経芽細胞
neuroblast,神経芽細胞腫
neuroblastoma,神経化学の
neurochemical,神経変性の
neurodegenerative,神経内分泌の
neuroendocrine,神経弛緩薬
neuroleptic,神経学
neurologic,神経学的な
neurological,神経科医
neurologist,神経学
neurology,神経筋の
neuromuscular,ニューロン
neuron,ニューロンの
neuronal,ニューロンチン
neurontin,神経病の
neuropathic,神経障害
neuropathy,神経ペプチド
neuropeptide,神経を保護する
neuroprotective,神経科学
neuroscience,神経科学者
neuroscientist,神経症
neurosis,神経症の
neurotic,神経毒の
neurotoxic,神経毒性
neurotoxicity,神経毒
neurotoxin,神経伝達物質
neurotransmitter,神経栄養
neurotrophic,ニューロトロフィン
neurotrophin,中性子爆弾
neut,中性
neuter,去勢
neutered,中性
neutral,中立性
neutrality,中和
neutralization,中和する
neutralize,ニュートリノ
neutrino,中性子
neutron,好中球減少症
Neutropenia,好中球減少
neutropenic,好中球
neutrophil,ネバダ
Nevada,雪原
neve,決して
never,気にしないで
nevermind,それにもかかわらず
nevertheless,ネビス島
Nevis,母斑
nevus,新しい　
new,ニューアーク
Newark,初心者
newbie,新生児
newborn,新人
newcomer,新しい　
newer,最新
newest,新しもの好きの
newfangled,新発見の
newfound,ニューファンドランド州
Newfoundland,新たに
newly,新婚
newlywed,ニューマン
Newman,ニューポート
Newport,ニュース
news,ニュース放送
newscast,ニュースキャスター
newscaster,ニュースデイ
Newsday,ニュースグループ
Newsgroup,newshour
newshour,ニュースレター
newsletter,ニュースマガジン
Newsmagazine,newsman
newsman,新聞
newspaper,新聞記者
newspaperman,新聞紙
newsprint,newsquiz
newsquiz,ニュース映画
newsreel,ニュース編集室
newsroom,ニューススタンド
newsstand,ニューズウィーク
Newsweek,ニュース週刊誌
Newsweekly,報道価値のある
newsworthy,話題の豊富な
newsy,イモリ
newt,ニュートン
Newton,次
next,ネクサス
nexus,NFL
NFL,NG
NG,NGO
NGO,NH
NH,NHI
NHI,ナイアシン
niacin,ナイアガラ
Niagara,ペン先
nib,ニブル
nibble,NIC
NIC,ニカラグア
Nicaragua,ニカラグア人
Nicaraguan,素晴らしい　
nice,うまく
nicely,きちょうめんさ
niceness,よりよい　
nicer,素敵な
nicest,機微
nicety,ニッチ
niche,ニコル
Nichol,ニック
nick,ニッケル
nickel,ニッケルオデオン
nickelodeon,ニクラウス
Nicklaus,nickleの
nickle,ニックネーム
nickname,ニコチン
nicotine,姪
niece,ニーチェ
Nietzsche,気の利いた
nifty,ニジェール
Niger,ナイジェリア
Nigeria,ナイジェリアの
Nigerian,けちで
niggardly,黒人
nigger,小さなことにくよくよする
niggle,近くに
nigh,夜
night,寝酒
nightcap,ナイトクラブ
nightclub,日暮れ
nightfall,ネグリジェ
nightgown,ヨタカ
nighthawk,ネグリジェ
nightie,ナイチンゲール
nightingale,ヨタカ
nightjar,ナイトライフ
nightlife,ナイト
nightline,毎晩
nightly,悪夢
nightmare,悪夢のような
nightmarish,ホオズキ
nightshade,ナイトスポット 
nightspot,警棒
nightstick,夜間
nighttime,米国国立衛生研究所 
NIH,ニヒリズム
nihilism,ニヒリスト
nihilist,虚無的な
nihilistic,ニケ
Nike,ニコン
Nikon,ゼロ
nil,ナイル川
Nile,nilly
nilly,軽快
nimble,機敏
nimbly,nincompoop
nincompoop,9
nine,19
nineteen,第19
nineteenth,90
ninety,忍者
ninja,ninny
ninny,ニンテンドー
Nintendo,第9
ninth,ニップ
nip,ニッパヤシ
nipa,ニップル
nipple,すばしこい　
nippy,解脱
nirvana,NIS
NIS,日産
Nissan,寄生虫の卵
nit,小うるさい　
nitpick,硝酸塩
nitrate,窒素の
nitric,ニトロセルロース
nitrocellulose,窒素
nitrogen,亜硝酸の
nitrous,とんちき
nitwit,ニックス
nix,ニクソン
Nixon,ニュージャージー州
NJ,NL
NL,NM
NM,ナノモル
nmol,NMR
NMR,NMT
NMT,いいえ
no,NOAA
NOAA,ノア
Noah,ノブ
nob,ノーベル
Nobel,気高さ
nobility,貴族
noble,貴族
nobleman,貴人
noblesse,上臈
noblewoman,気高く
nobly,誰も
nobody,夜行性の
nocturnal,うなずき
nod,節の
nodal,うなずいて 
nodded,ノード
node,結節
nodule,ノエル
noel,ノエル
Noelle,木栓
nog,頭
noggin,能楽
noh,ノイズ
noise,わいわい
noisily,悪臭のする
noisome,騒々しい　
noisy,遊牧民
nomad,遊牧民の
nomadic,命名
nomenclature,名目
nominal,名目上
nominally,指名する
nominate,指名
nomination,主格
nominative,名義人
nominee,ノン
non,非遵守
nonadherence,九量体
nonamer,未達成
nonattainment,ノンバンク
nonbank,ノンス
nonce,無関心
nonchalance,無関心な
nonchalant,いい加減に
nonchalantly,noncitizen
noncitizen,非コード
noncode,曖昧な
noncommittal,違反
noncompliance,従わない
nonconformist,目立たない
nondescript,不分離
nondisjunction,なし
none,非実在
nonentity,非平衡
nonequilibrium,非必須
nonessential,稀少
nonesuch,それにもかかわらず
nonetheless,所外取引
nonexchange,存在しない
nonexistent,脂肪のない
nonfat,致命的でない
nonfatal,nonfederal
nonfederal,ノンフィクション
nonfiction,非金融
nonfinancial,機能しない
nonfunctional,非政府
nongovernmental,ヒト以外の 
nonhuman,非侵襲的
noninvasive,非線形の
nonlinear,非線形性
nonlinearity,ノンパラメトリック
nonparametric,党派に属さない
nonpartisan,非営利の
nonprofit,核不拡散
nonproliferation,ナンセンス
nonsense,ばかげた
nonsensical,非喫煙者
nonsmoker,非特異性の
nonspecific,規格外の
nonstandard,ノンストップ
nonstop,非加入者
nonsubscriber,非同義
nonsynonymous,分類不可能な
nontypeable,非言語的な
nonverbal,非暴力主義
nonviolence,非暴力の
nonviolent,非白人
nonwhite,ヌードル
noodle,ヌック
nook,正午
noon,誰も
noone,真昼
noontime,ヌース
noose,いいえ
nope,も～ない
nor,ノラ
Nora,NORAD
NORAD,ノードストローム
Nordstrom,ノルエピネフリン
Norepinephrine,標準
norm,通常の
normal,正常
normality,正規化
normalization,正規化する
normalize,正規化された
normalized,通常は
normally,ノーマン
Norman,ノルマンディー
Normandy,規範的な
normative,ノロウイルス
norovirus,ノルウェー人の
Norse,北
north,北東
northeast,北東部の
northeastern,北風
northerly,北方
northern,北部地方の人
northerner,最北
northernmost,ノースリッジ
Northridge,ノースロップ
Northrop,northtower
northtower,北へ
northward,北西
northwest,北西部の
northwestern,ノルウェー
Norway,ノルウェーの
Norwegian,鼻
nose,鼻血
nosebleed,鼻
nosed,急降下
nosedive,食べる
nosh,院内
nosocomial,郷愁
nostalgia,ノスタルジック
nostalgic,鼻孔
nostril,おせっかいな
nosy,しない
not,注目に値する
notable,特に
notably,公証人
notary,表記法
notation,ノッチ
notch,注意
note,ノート
notebook,注目
noted,メモ帳
notepad,注目に値する
noteworthy,何もない
nother,何も～ない
nothing,お知らせ
notice,目立つ
noticeable,顕著
noticeably,通知
notification,通知する
notify,概念
notion,概念的な
notional,脊索
notochord,悪評
notoriety,悪名高い　
notorious,悪名高い　
notoriously,ノートルダム
Notre,にもかかわらず
notwithstanding,無価値
nought,名詞
noun,育てる
nourish,栄養
nourishment,ヌース
nous,ヌーヴォー
nouveau,11月
Nov,新星
nova,ノバルティス
Novartis,更改
novation,小説
novel,小説家
novelist,短編小説
novella,ノベルティ
novelty,11月
November,初心者
novice,今
now,現今の
nowaday,どこにも
nowhere,窒素酸化物
NOx,有害な
noxious,ノズル
nozzle,NP
NP,NPR
NPR,NPT
NPT,NR
NR,NS
NS,NSC
NSC,NT
NT,n番目の
nth,NTP
NTP,ニュー
nu,ニュアンス
nuance,微妙
nuanced,結節
nub,魅力的な
nubile,核の
nuclear,ヌクレアーゼ
nuclease,核生成
nucleation,核酸
nucleic,仁の
nucleolar,核小体
nucleolus,核子(かくし)
nucleon,求核試薬
nucleophile,核質
nucleoplasmin,ヌクレオシド
nucleoside,ヌクレオチド
nucleotide,細胞核
nucleus,ヌード
nude,少しずつ動かす
nudge,つつかれた
nudged,ヌーディスト
nudist,裸体
nudity,ナゲット
nugget,迷惑
nuisance,核兵器
nuke,ヌル
null,無効化
nullification,無効にする
nullify,無感覚
numb,数
number,麻痺
numbing,痺れ
numbness,算数
numeracy,数字
numeral,分子
numerator,数値の
numeric,数の
numerical,数値
numerically,多数の
numerous,修道女
nun,女子修道院
nunnery,ニュルンベルク
Nuremberg,看護師
nurse,保育園
nursery,看護
nursing,育てる
nurture,ヌセルト数
Nusselt,ナット
nut,nutcase
nutcase,くるみ割り人形
nutcracker,ナツメグ
nutmeg,ヌートリア
nutria,栄養素
nutrient,栄養
nutrition,栄養の
nutritional,栄養士
nutritionist,栄養価が高い　
nutritious,ナッツの殻
nutshell,変わり者
nutter,ナッティー
nutty,鼻をこすりつける
nuzzle,NV
NV,NY
NY,ニューヨーク市 
NYC,ナイ
Nye,ナイロン
nylon,ニンフ
nymph,ニューヨーク市警察
NYPD,ニューヨーク証券取引所
NYSE,NYT
NYT,NYTimesの
NYTimes,o
