s,SA
scheme,策士
schemer,腹黒い　
scheming,シリング
schilling,住血吸虫症
schistosomiasis,統合失調症の
schizoid,シゾント
schizont,統合失調症
schizophrenia,統合失調症の
schizophrenic,スキゾ
Schizosaccharomyces,骨の折れる仕事
schlep,安物
schlock,過度の感傷主義
schmaltz,おしゃべり
schmooze,愚か者
schmuck,シュナップス
schnapps,学者
scholar,学術的な
scholarly,奨学金
scholarship,学校の
scholastic,学校
school,教科書
schoolbook,男子生徒
schoolboy,学童
schoolchild,小学生
schoolchildren,就学児童
schooler,女子生徒
schoolgirl,校舎
schoolhouse,学校教育
schooling,schoolmarm
schoolmarm,校長
schoolmaster,学友
schoolmate,先生
schoolteacher,学校の勉強
schoolwork,校庭
schoolyard,スクーナー
schooner,ギャグ
schtick,シューベルト
Schubert,シューマン
Schumann,シュワルツ
Schwartz,シュワルツ
Schwarz,シュワルツェネッガー
Schwarzenegger,坐骨神経痛の
sciatic,科学
science,科学的
scientific,科学的に
scientifically,科学者
scientist,サイエントロジー
scientology,放つ
scintillate,シンチレーション
scintillation,接ぎ穂
scion,はさみ
scissor,はさみ
scissors,硬化症
sclerosis,嘲る
scoff,叱る
scold,スコーン
scone,スクープ
scoop,スクート
Scoot,スクーター
scooter,スコープ
scope,スコポラミン
scopolamine,スコーチ
scorch,焦げた
scorched,スコア
score,スコアボード
scoreboard,スコアカード
scorecard,無得点の
scoreless,スコアラー
scorer,得点
scoring,軽蔑
scorn,軽蔑
scorned,軽蔑した
scornful,さげすんで
scornfully,蠍座
Scorpio,サソリ
scorpion,スコット
Scot,スコットランドの
Scotch,スコシア
Scotia,スコットランド
Scotland,スコットランド人
Scotsman,スコット
Scott,スコットランドの
Scottish,悪党
scoundrel,磨く
scour,スカージ
scourge,スカウト
scout,スカウティング
scouting,ボーイスカウトの隊長
scoutmaster,スカウ
scow,顔をしかめる
scowl,SCR
SCR,引っかく
scrabble,モジャモジャの
scraggly,スクランブル
scramble,スクラップ
scrap,スクラップブック
scrapbook,擦り傷
scrape,掻き取り
scraped,スクレーパー
scraper,スクレピー
scrapie,断片的な
scrappy,スクラッチ
scratch,チクチクする
scratchy,走り書き
scrawl,走り書き
scrawled,やせこけた
scrawny,悲鳴を上げる
scream,絶叫
screaming,小石
scree,金切り声
screech,長談義
screed,スクリーン
screen,スクリーナー
screener,スクリーニング
screening,脚本
screenplay,脚本家
screenwriter,ネジ
screw,スクリューボール
screwball,ねじ回し
screwdriver,らせん状の
screwy,落書き
scribble,筆記
scribe,つかみ合い
scrimmage,倹約する
scrimp,細工
scrimshaw,(代用)紙幣
scrip,スクリプト
script,スクリプト
scripted,聖書
scriptural,聖書
scripture,スクロール
scroll,スクルージ
scrooge,あさる
scrounge,スクラブ
scrub,ごしごしこすられた
scrubbed,スクラバー
scrubber,みすぼらしい　
scrubby,首筋
scruff,だらしない
scruffy,スクラム
scrum,すてきな
scrumptious,うずくまる
scrunch,気がとがめる
scruple,実直な
scrupulous,綿密に
scrupulously,詳しく調べる
scrutinize,精査
scrutiny,スキューバ
scuba,スカッド
scud,傷
scuff,もみ合い
scuffle,スカル
scull,彫刻する
sculpt,彫刻
sculpted,彫刻家
sculptor,彫刻の
sculptural,彫刻
sculpture,灰汁(あく)
scum,卑劣な人
scumbag,汚い　
scummy,小走り
scurry,壊血病
scurvy,断念する
scuttle,うわさ
scuttlebutt,大鎌
scythe,SD
SD,SDB
SDB,SDF
SDF,SE
SE,海
sea,海底
seabed,海鳥
seabird,沿岸地域
seaboard,海岸
seacoast,船員
seafarer,シーフード
seafood,海に面した
seafront,シーグラム
Seagram,鴎
seagull,シーホース
seahorse,鰭脚類
seal,シーム
seam,船員
seaman,シームレス
seamless,継ぎ目なく
seamlessly,裁縫師
seamstress,むさくるしい
seamy,ショーン
Sean,水上飛行機
seaplane,海港
seaport,焼く
sear,検索
search,検索可能な
searchable,サーチャー
searcher,検索
searching,サーチライト
searchlight,焼け付くような
searing,海景
seascape,貝殻
seashell,海岸
seashore,船酔い
seasick,海辺
seaside,シーズン
season,季節的
seasonal,季節性
seasonality,季節
seasonally,熟練した
seasoned,調味料
seasoning,シート
seat,シートベルト
seatbelt,座席
seating,シアトル
Seattle,海側
seaward,海水
seawater,航路
seaway,海藻
seaweed,航海に適した
seaworthy,証券取引委員会
SEC,脱退する
secede,脱退
secession,人里離れた
secluded,閑居
seclusion,2番目
second,二次的に
secondarily,二次
secondary,中古
secondhand,第二に
secondly,秒
seconds,秘密性
secrecy,秘密
secret,秘書の
secretarial,秘書室
secretariat,秘書
secretary,分泌する
secrete,分泌
secreted,分泌
secretion,秘密主義の
secretive,ひそかに
secretly,分泌腺
secretory,宗派
sect,派閥の
sectarian,セクション
section,断面
sectional,断面の
sectioned,セクター
sector,世俗的な
secular,世俗主義
secularism,確保する
secure,しっかりと
securely,セキュリティ
security,セダン
sedan,落ち着いた
sedate,鎮静状態の
sedated,鎮静状態
sedation,鎮静剤
sedative,座りがちな
sedentary,堆積物
sediment,堆積
sedimentary,沈降
sedimentation,沈降
sedimented,扇動
sedition,誘惑する
seduce,誘惑
seduced,誘惑
seduction,魅惑的な
seductive,誘惑
seductively,誘惑する女
seductress,見る
see,シード
seed,シードレス
seedless,苗
seedling,みすぼらしい　
seedy,見ること
seeing,シーク
seek,探求者
seeker,見える
seem,見えた
seemed,うわべ
seeming,一見したところ
seemingly,のようだ 
seems,見られる
seen,浸透する
seep,漏出
seepage,予言者
seer,シアサッカー
seersucker,シーソー
seesaw,沸き返る
seethe,セガ
Sega,セグメント
segment,分節
segmental,セグメンテーション
segmentation,セグメント化された
segmented,分離する
segregate,隔離された
segregated,分離
segregation,人種差別
segregationist,セグエ
segue,セーヌ川
Seine,となりのサインフェルド
Seinfeld,地震の
seismic,地震学者
seismologist,つかむ
seize,押収
seizing,発作
seizure,滅多
seldom,選ぶ
select,選択
selected,選択
selecting,選択
selection,選択的な
selective,選択的に
selectively,選択性
selectivity,セレクタ
selector,セレン
selenium,自己
self,利己的な
selfish,身勝手に
selfishly,身勝手さ
selfishness,無私無欲の
selfless,販売
sell,売り手
seller,販売
selling,selloff
selloff,売り切り
sellout,自分たち
selves,SEM
SEM,セマンティック
semantic,意味論
semantics,手旗信号
semaphore,SEMATECH
SEMATECH,外観
semblance,精液
semen,学期
semester,筋電図
SEMG,準
semi,半自動の
semiautomatic,半円
semicircle,セミコロン
semicolon,半導体
semiconductor,準決勝
semifinal,独創性に富んだ
seminal,セミナー
seminar,セミナー研究生
seminarian,神学校
seminary,記号の
semiotic,セム人
Semite,セム語
Semitic,ユダヤ主義
Semitism,SEN
SEN,上院
senate,上院議員
senator,上院の
senatorial,送信
send,差出人
sender,送信
sending,セネカ
seneca,セネガル
Senegal,老化
senescence,老人性
senile,老衰
senility,シニア
senior,年功序列
seniority,セニョール
senor,感覚
sensation,センセーショナルな
sensational,扇情主義
sensationalism,センス
sense,無分別な
senseless,感覚
senses,感性
sensibility,賢明な
sensible,目立って
sensibly,敏感
sensitive,感度
sensitivity,感作
sensitization,感作
sensitize,センサー
sensor,感覚の
sensory,官能的な
sensual,感覚論者
sensualist,官能
sensuality,官能的な
sensuous,文
sentence,量刑手続き
sentencing,感覚性
sentience,知覚
sentient,感情
sentiment,感傷的な
sentimental,感傷家
sentimentalist,感傷
sentimentality,感傷にふける
sentimentalize,センチネル
sentinel,見張り
sentry,SEO
SEO,ソウル
Seoul,9月
Sep,萼片
sepal,分離可能な
separable,別
separate,分離した
separated,別々
separately,分離
separation,分離主義
separatism,分離主義者
separatist,セパレーター
separator,セファロース
sepharose,セピア
sepia,sepoy
sepoy,敗血症
sepsis,7の
sept,9月
September,敗血症
septic,セプトゥアギンタ
Septuagint,中隔
septum,セパルカー
sepulcher,陰気な
sepulchral,セパルカー
sepulchre,配列
seq,続編
sequel,シーケンス
sequence,配列決定され
sequenced,シーケンサー
sequencer,シークエンシング
sequencing,シーケンシャル
sequential,連続して
sequentially,隔離する
sequester,仮差押え
sequestration,シークイン
sequin,セコイア
sequoia,SER
SER,セラフ
Seraph,セルビア
Serb,セルビア
Serbia,セルビア語
Serbian,セレナーデ
serenade,偶然
serendipitous,セレンディピティ
serendipity,穏やかな
serene,穏やか
serenely,静けさ
serenity,農奴
serf,サージ
serge,軍曹
sergeant,シリアル
serial,シリアルに 
serially,シリーズ
series,セリン
serine,深刻
serious,真剣に
seriously,深刻
seriousness,説教
sermon,説教する
sermonize,血清学的グループ
serogroup,血清学的
serological,血清学
serology,血清反応陰性の
seronegative,血清反応陽性の
seropositive,血清反応陽性
seropositivity,セロトニン
serotonin,血清型
serotype,血液型亜型
serovar,蛇
serpent,サーペンタイン
serpentine,セルトリ細胞
Sertoli,血清
serum,召使
servant,サーブ
serve,サーバー
server,サービス
service,役に立つ
serviceable,サービスマン
serviceman,サービス
services,卑屈な
servile,給仕をする
serving,隷属
servitude,ごま
sesame,セッション
session,セット
set,挫折
setback,セッター
setter,設定
setting,落ち着く
settle,決済
settlement,入植者
settler,沈降
settling,セットアップ
setup,7
seven,17
seventeen,第17
seventeenth,第7
seventh,70
seventy,断つ
sever,いくつかの
several,切断
severance,厳しい　
severe,厳しく
severely,重症度
severity,セビラ
Sevilla,セビリア
Seville,縫う
sew,下水
sewage,縫製
sewed,下水道
sewer,裁縫
sewing,縫い付け
sewn,セックス
sex,セクシー
sexier,セクシーな
sexiest,性差別
sexism,性差別的な
sexist,セックスレス
sexless,sexpot
sexpot,六分儀
sextant,寺男
sexton,性的
sexual,セクシュアリティー
sexuality,性的に
sexually,セクシー
sexy,セイシェル
Seychelles,SF
SF,SG
SG,しー!
sh,みすぼらしい　
shabby,小屋
shack,シャックル
shackle,シェード
shade,影付きの
shaded,サングラス
shades,シェーディング
shading,影
shadow,シャドーイング
shadowed,闇の
shadowy,いかがわしい　
shady,シャフト
shaft,シャグ
shag,シャギー
shaggy,シャー
shah,振る
shake,シェイクダウン
shakedown,淘汰
shakeout,シェーカー
shaker,シェイクスピア
Shakespeare,シェークスピアの
Shakespearean,振動
shaking,不安定な
shaky,頁岩
shale,意思
shall,エシャロット
shallot,浅い　
shallow,浅瀬
shallows,シャローム
shalom,なかれ
shalt,偽の
sham,シャーマン
shaman,よろよろ歩く
shamble,修羅場
shambles,恥
shame,恥ずかしい　
shamed,恥ずべき
shameful,恥ずかしくも
shamefully,恥知らずな
shameless,臆面もなく
shamelessly,シャンプー
shampoo,シャムロック
shamrock,上海
Shanghai,シャンク
shank,Shanshu
Shanshu,小屋
shanty,少林寺拳法
shaolin,形状
shape,整形
shaped,定形のない
shapeless,すっきり
shapely,破片
shard,シェア
share,小作人
sharecropper,シェアード
shared,株主
shareholder,共有者
sharer,株式
shares,シェアリング
sharing,鮫
shark,シャロン
Sharon,シャープ
sharp,研ぐ
sharpen,先鋭化
sharpened,シャープ
sharper,最もシャープ
sharpest,シャーピー
sharpie,鋭く
sharply,切れ味
sharpness,狙撃兵
sharpshooter,打ち砕く
shatter,粉々になった
shattered,剃る
shave,剃った
shaven,シェービング
shaving,ショール
shawl,ショーン
Shawn,彼女
she,シェイ
shea,束
sheaf,せん断
shear,シアラー
shearer,シース
sheath,シバン
shebang,小屋
shed,脱皮
shedding,光沢
sheen,ヒツジ
sheep,シープドッグ
sheepdog,羊飼い
sheepherder,恥ずかしそうな
sheepish,シープ
sheepshead,羊皮
sheepskin,切り立った
sheer,ちぇっ
sheesh,シート
sheet,シーク
Sheik,シェケル
shekel,棚
shelf,シェル
shell,貝
shellfish,シェリー
shelly,避難所
shelter,保護された
sheltered,見送る
shelve,偽り
shenanigan,シェパード
Shepard,シェパード
shepherd,シェラトン
Sheraton,シャーベット
sherbet,保安官
sheriff,シャーマン
Sherman,シェルパ
sherpa,シェリー
sherry,シェリル
Sheryl,シェトランド
Shetland,シーッ
shh,シールド
shield,シフト
shift,移動
shifting,ずるそうな
shifty,シーア派
shiite,サクラ
shill,シリング
shilling,きらめき
shimmer,揺らぎ
shimmering,シミー
shimmy,すね
shin,パーティー
shindig,輝き
shine,酔っぱらった
shined,シャイナー
shiner,シングル
shingle,輝く
shining,神道
Shinto,光沢のある
shiny,船
ship,船上
shipboard,造船会社
shipbuilder,造船
shipbuilding,シップマン
Shipman,船員仲間
shipmate,出荷
shipment,荷主
shipper,運送
shipping,難破船
shipwreck,造船所
shipyard,イングランド中部諸州
shire,逃れる
shirk,シャツ
shirt,上半身裸
shirtless,たわごと
shit,大量のもの
shitload,くだらない　
shitty,シバ神
Shiva,震え
shiver,寒気
shivers,寒い　
shivery,浅瀬
shoal,ショック
shock,ショックを受けて
shocked,ショッカー
shocker,ショッキング
shocking,ゾッとするほど
shockingly,ショディ
shoddy,靴
shoe,靴べら
shoehorn,靴紐
shoelace,靴屋
shoemaker,靴磨き
shoeshine,靴ひも
shoestring,ショファル
shofar,幕府
shogunate,追い払う
shoo,撃つ
shoot,シュートダウン
shootdown,シューター
shooter,撮影
shooting,銃撃戦
shootout,ショップ
shop,女店員
shopgirl,店主
shopkeeper,万引き
shoplifting,専門店
shoppe,買い物客
shopper,ショッピング
shopping,古臭い
shopworn,海岸
shore,海岸線
shoreline,刈った
shorn,ショート
short,不足
shortage,ショートブレッド
shortbread,サボる
shortchange,欠点
shortcoming,ショートカット
shortcut,短縮する
shorten,ショートニング
shortening,短い　
shorter,最短
shortest,不足
shortfall,速記
shorthand,まもなく
shortly,不足
shortness,ショーツ
shorts,近視眼的な
shortsighted,遊撃手
shortstop,短波
shortwave,背の低い人
shorty,ショスタコービッチ
Shostakovich,ショット
shot,ショットガン
shotgun,すべき
should,肩
shoulder,シャウト
shout,叫び
shouting,大声で叫ぶ
shoutout,押し込む
shove,シャベル
shovel,シャベルで掘られた 
shoveled,ショー
show,芸能界
showbiz,ショーボート
showboat,ショーケース
showcase,展示
showcased,対決
showdown,シャワー
shower,シャワーを浴びて
showered,ショーガール
showgirl,表示
showing,芸人
showman,ショーマンシップ
showmanship,示す
shown,展示品
showpiece,名所
showplace,ショールーム
showroom,ショータイム
showtime,派手
showy,榴散弾
shrapnel,シュレッド
shred,細断された
shredded,シュレッダー
shredder,シュリーブポート
Shreveport,トガリネズミ
shrew,抜け目のない
shrewd,ちゃっかり
shrewdly,辣腕
shrewdness,悲鳴
shriek,ざんげ
shrift,甲高い　
shrill,エビ
shrimp,神社
shrine,シュリンク
shrink,収縮
shrinkage,しぼむ
shrivel,シュラウド
shroud,低木
shrub,植え込み
shrubbery,肩をすくめる
shrug,縮んだ
shrunken,お決まりのギャグ
shtick,さや
shuck,身震い
shudder,シャッフル
shuffle,シャッフルボード
shuffleboard,シャッフリング
shuffling,避ける
shun,シャント
shunt,シッ
shush,閉じた
shut,シャットダウン
shutdown,完封
shutout,シャッター
shutter,シャトル
shuttle,シャイ
shy,恥ずかしそうに
shyly,内気
shyness,shyster
shyster,SI
SI,シブ
sib,シベリア
Siberia,シベリアの
Siberian,兄弟姉妹
sibling,SIC
SIC,四川省
Sichuan,シシリアン
Sicilian,シチリア島
Sicily,病気
sick,病気になる
sicken,病気に
sickened,吐き気を催させる
sickening,病状
sicker,シッケスト
sickest,鎌
sickle,病弱な
sickly,病気
sickness,サイド
side,サイドバー
sidebar,サイドボード
sideboard,もみ上げ
sideburns,サイドチェイン
sidechain,サイドキック
sidekick,サイドライト
sidelight,副業
sideline,親鉄剤
siderophore,余興
sideshow,避ける
sidestep,脱線
sidetracked,歩道
sidewalk,脇道
sideway,サイドワインダー
sidewinder,羽目板
siding,横に動く
sidle,シドニー
Sidney,包囲
siege,ジークフリート
Siegfried,シエナ
Siena,シエラ
sierra,シエスタ
siesta,ふるい　
sieve,ふるいにかける
sift,ため息
sigh,視力
sight,目の見える 
sighted,目撃
sighting,観光
sightseeing,観光客
sightseer,シグマ
sigma,S字状の
sigmoidal,サイン
sign,標識(の)
signage,信号
signal,シグナル伝達
signaling,署名者
signatory,署名
signature,印鑑
signet,意義
significance,重要な
significant,かなり
significantly,意味
signification,意味されているもの
signifier,意味する
signify,署名
signing,道標
signpost,案内標識
signposted,シーク
Sikh,沈黙
silence,サイレンサー
silencer,サイレント
silent,静かに
silently,シルエット
silhouette,シリカ
silica,インシリコ
silico,シリコン
silicon,シリコーン
silicone,シルク
silk,つやつやした
silken,カイコ
silkworm,絹のような
silky,敷居
sill,愚かさ
silliness,愚かな
silly,サイロ
silo,シルト
silt,銀
silver,トウゴロイワシ
silverside,銀食器
silverware,銀色
silvery,SIM
SIM,サル
simian,同様の
similar,類似
similarity,同様に
similarly,直喩
simile,SIMM
SIMM,煮る
simmer,サイモン
Simon,人を引き付ける
simpatico,作り笑い
simper,簡単
simple,単純な
simpler,最も単純な
simplest,阿呆
simpleton,単純
simplicity,簡素化
simplification,単純化する
simplify,単純化した
simplistic,単に
simply,シンプソン
Simpson,シミュレート
simulate,シミュレーションした
simulated,シミュレーション
simulation,シミュレータ
simulator,同時放送
simulcast,同時
simultaneous,同時に
simultaneously,罪
sin,シナイ半島
Sinai,シナトラ
Sinatra,から
since,誠実な
sincere,心から
sincerely,誠実
sincerity,サイン
sine,筋
sinew,筋骨たくましい　
sinewy,罪深い
sinful,歌う
sing,シンガポール
Singapore,歌手
singer,歌う
singing,シングル
single,シングル
singles,シングレット
singlet,シングルトン
singleton,単独で
singly,単数
singular,特異点
singularity,単独で
singularly,不吉な
sinister,シンク
sink,シンカー
sinker,沈没
sinking,罪人
sinner,中国の
Sino,焼結
sinter,しなやかな
sinuous,洞(ほら)
sinus,副鼻腔炎
sinusitis,正弦曲線
sinusoid,正弦曲線の
sinusoidal,一口
sip,サイフォン
siphon,サー
sir,サイアー
sire,(種付けで)子を生んだ
sired,サイレン
siren,sirenian
sirenian,シリウス
Sirius,サーロイン
sirloin,siRNA
siRNA,妹
sis,サイザル麻
sisal,弱虫
sissy,妹
sister,姉妹関係
sisterhood,シシュフォス
Sisyphus,座る
sit,シタール
sitar,シットコム
sitcom,サイト
site,シッター
sitter,座っている
sitting,その場
situ,置く
situate,位置
situated,状況
situation,状況の
situational,6
six,6ペンス
sixpence,16
sixteen,第十六
sixteenth,第6
sixth,60
sixty,相当の大きさの
sizable,サイズ
size,かなり大きい　
sizeable,シズル
sizzle,非常に暑い　
sizzling,不快な
skanky,スケート
skate,スケートボード
skateboard,スケーター
skater,スケート
skating,かせ
skein,骨格
skeletal,スケルトン
skeleton,懐疑的な
skeptic,懐疑的な
skeptical,懐疑的に
skeptically,懐疑的な見方
skepticism,スケッチ
sketch,スケッチブック
sketchbook,スケッチ
sketched,大雑把
sketchy,スキュー
skew,串
skewer,串刺し
skewered,スキー
ski,スキッド
skid,スキーを
skied,スキーヤー
skier,スキー
skiing,上手に
skilfully,スキル
skill,熟練した
skilled,フライパン
skillet,熟練した
skillful,巧みに
skillfully,スキム
skim,脱脂
skimmed,スキマー
skimmer,けちる
skimp,不十分な
skimpy,皮膚
skin,吝嗇
skinflint,皮下脂肪
skinfold,スキンヘッド
skinhead,皮を剥がれた
skinned,スキナー
skinner,スキニー
skinny,スキップ
skip,スキップ
skipped,スキッパー
skipper,スキッピー
Skippy,小競り合い
skirmish,スカート
skirt,寸劇
skit,skitter
skitter,気まぐれな
skittish,SKP
skp,スカルク
skulk,頭蓋骨
skull,スカルキャップ
skullcap,スカンク
skunk,空
sky,スカイダイビング
skydive,ヒバリ
skylark,天窓
skylight,スカイライン
skyline,急騰する
skyrocket,超高層ビル
skyscraper,スカイウォーカー
skywalker,空に向かって
skyward,スラブ
slab,たるみ
slack,弛んだ
slacked,緩む
slacken,怠け者
slacker,スラックス
slacks,スラグ
slag,slake
slake,スラローム
slalom,スラム
slam,刑務所
slammer,中傷
slander,中傷する
slanderous,スラング
slang,slangy
slangy,スラント
slant,傾斜した
slanted,スラップ
slap,ぴしゃり
slapping,どたばた
slapstick,スラッシュ
slash,スラット
slat,スレート
slate,厚く塗る
slather,虐殺
slaughter,畜殺場
slaughterhouse,奴隷
slave,よだれ
slaver,奴隷制
slavery,スラブの
Slavic,卑屈な
slavish,スロー
slaw,殺す
slay,殺害者
slayer,殺し
slaying,SLC
SLC,みすぼらしさ
sleaze,安っぽい　
sleazy,そり
sled,大ハンマー
sledgehammer,なめらかな
sleek,睡眠
sleep,枕木
sleeper,睡眠
sleeping,眠れない
sleepless,不眠
sleeplessness,外泊
sleepover,夢中歩行
sleepwalk,夢遊病者
sleepwalker,夢遊病
sleepwalking,眠い　
sleepy,みぞれ
sleet,スリーブ
sleeve,ノースリーブの
sleeveless,そり
sleigh,手品
sleight,細い　
slender,探偵
sleuth,スルー
slew,スライス
slice,スライスした
sliced,スリック
slick,スリッカー
slicker,滑らかに
slickly,スライド
slide,スライダー
slider,スライディング
sliding,わずかな
slight,侮辱
slighted,わずかな
slightest,少し
slightly,スリム
slim,スライム
slime,スリム
slimmer,ぬるぬる
slimy,スリング
sling,パチンコ
slingshot,こっそり逃げる
slink,セクシーな
slinky,スリップ
slip,スリッページ
slippage,スリッパ
slipper,滑りやすい　
slippery,手を抜いた
slipshod,スリット
slit,ずるずる滑る
slither,スライバー
sliver,ずぼらな人
slob,よだれ
slobber,スロー
sloe,重い足取りで進む
slog,スローガン
slogan,スロップ
slop,スロープ
