v,VA
velveteen,ビロードのような
velvety,腐敗した
venal,悪徳
venality,販売する
vend,抗争
vendetta,ベンダー
vendor,ベニヤ
veneer,立派な
venerable,あがめる
venerate,崇拝
venerated,性病の
venereal,ベネチアン
Venetian,ベネズエラ
Venezuela,ベネズエラの
Venezuelan,復讐
vengeance,復讐心に燃えた
vengeful,ヴェネツィア
Venice,鹿肉
venison,毒
venom,悪意に満ちた
venomous,静脈の
venous,ベント
vent,換気する
ventilate,換気
ventilation,人工呼吸器
ventilator,換気の
ventilatory,腹部の
ventral,心室
ventricle,心室の
ventricular,腹話術
ventriloquism,腹話術師
ventriloquist,ベンチャー
venture,思い切って 
ventured,冒険的な
venturesome,会場
venue,ヴィーナス
Venus,版
ver,真実
veracity,ベランダ
veranda,ベランダ
verandah,動詞
verb,言葉による
verbal,言語で
verbally,逐語的
verbatim,言い回し
verbiage,冗長
verbose,禁止された
verboten,青々
verdant,ベルディ
Verdi,評決
verdict,寸前
verge,検証できる
verifiable,検証
verification,確認する
verify,本当に
verily,ベリサイン
Verisign,迫真性
verisimilitude,真の
veritable,真実性
verity,ベライゾン
Verizon,フェルメール
Vermeer,朱色
vermilion,害虫
vermin,バーモント州
Vermont,ベルモット
vermouth,方言
vernacular,バーニア
vernier,ヴァーノン
Vernon,ベロニカ
veronica,その逆
versa,ヴェルサーチ
Versace,ヴェルサイユ
Versaille,多才な
versatile,多用途性
versatility,詩
verse,経験済み
versed,バージョン
version,対
versus,椎骨
vertebra,脊椎の
vertebral,脊椎動物
vertebrate,頂点
vertex,垂直
vertical,垂直に
vertically,目まい
vertiginous,目まい
vertigo,力強さ
verve,とても
very,小嚢
vesicle,小胞の
vesicular,容器
vessel,ベスト
vest,純潔な
vestal,既得
vested,前庭の
vestibular,前庭
vestibule,痕跡
vestige,祭服
vestment,獣医
vet,ベテラン
veteran,獣医
veterinarian,獣医
veterinary,拒否権
veto,吟味
vetted,苦しめる
vex,悔しい　
vexatious,イライラした
vexed,イライラさせる
vexing,VH
VH,ビア
via,生存能力
viability,実行可??能な
viable,バイアコム
Viacom,バイアグラ
Viagra,バイアル
vial,バイブ
vibe,感情
vibes,活気がある
vibrant,振動する
vibrate,振動
vibration,ビブラート
vibrato,バイブレーター
vibrator,獲物
vic,教区牧師
vicar,身代わりの
vicarious,身代わり
vicariously,悪徳
vice,総督
viceroy,周辺
vicinity,悪質な
vicious,悪意を持って
viciously,ビッカース
Vickers,被害者
victim,虐待
victimization,犠牲にする
victimize,ビクター
victor,ビクトリア
Victoria,ビクトリア朝
Victorian,勝利の
victorious,勝利
victory,見よ
vide,ビデオ
video,ビデオテープ
videotape,ビデオ撮影
videotaped,争う
vie,ウイーン
Vienna,ベトナム
Viet,ベトナム
Vietnam,ベトナム語
Vietnamese,見る
view,見る
viewed,ビューア
viewer,ファインダー
viewfinder,鑑賞
viewing,観点
viewpoint,通夜
vigil,警戒
vigilance,用心深い　
vigilant,自警団員
vigilante,寸描
vignette,活力
vigor,活発な
vigorous,勢い良く
vigorously,活力
vigour,バイキング
Viking,下劣な
vile,悪罵
vilification,中傷された
vilified,けなす
vilify,別荘
villa,村
village,村人
villager,悪役
villain,極悪の
villainous,極悪
villainy,絨毛
villous,絨毛
villus,活力
vim,ビネグレットソース
vinaigrette,ヴィンセント
Vincent,ビンセント
Vincente,守る
vindicate,弁明
vindication,執念深い　
vindictive,執念深く
vindictively,ぶどうの木
vine,酢
vinegar,ブドウ園
vineyard,ワイン
vino,ヴィンテージ
vintage,ワイン醸造業者
vintner,ビニール
vinyl,ヴィオラ
viola,違反する
violate,違反
violation,違反者
violator,暴力
violence,暴力的な
violent,激しく
violently,バイオレット
violet,バイオリン
violin,バイオリニスト
violinist,バイオックス
vioxx,VIP
vip,まむし
viper,ウイルスの
viral,バージル
Virgil,処女
virgin,バージニア州
Virginia,純潔
virginity,乙女座
Virgo,男性的な
virile,男らしさ
virility,ウイルス学
virologic,ウイルス学的な
virological,ウイルス学
virology,バーチャル
virtual,事実上
virtually,美徳
virtue,妙技
virtuosity,名手
virtuoso,高潔な
virtuous,殺ウイルス
virucidal,毒性
virulence,毒性
virulent,敵意に満ちて
virulently,ウイルス
virus,ビザ
Visa,顔
visage,内臓
viscera,内臓の
visceral,粘度
viscosity,子爵
viscount,粘着性の
viscous,万力
vise,ビシュヌ神
Vishnu,可視性
visibility,目に見える
visible,目に見えるほど
visibly,西ゴート族
Visigoth,ビジョン
vision,先見の明がある
visionary,訪問
visit,訪問
visitation,訪問者
visitor,バイザー
visor,ビスタ
vista,ビジュアル
visual,可視化
visualization,可視化する
visualize,可視化
visualized,視覚的に
visually,ヴィータ
vita,バイタル
vital,活力
vitality,絶対に
vitally,ビタミン
vitamin,損なう
vitiate,ブドウ属
vitis,ガラス質の
vitreous,硫酸
vitriol,辛辣な
vitriolic,ビトロ
vitro,罵りの
vituperative,ビバ
viva,快活な
vivacious,ビバルディ
Vivaldi,ビベンディ
Vivendi,鮮やか
vivid,鮮やかに
vividly,ビビアン
Vivien,生体解剖
vivisection,ビーボ
vivo,雌キツネ
vixen,すなわち
viz.,ウラジミール
Vladimir,VM
VM,VO
VO,語彙
vocabulary,ボーカル
vocal,ボーカリスト
vocalist,発声する
vocalize,天職
vocation,職業の
vocational,呼格
vocative,やかましい　
vociferous,ウォッカ
vodka,流行
vogue,声
voice,無声
voiceless,ボイスメール
voicemail,ボイスオーバー
voiceover,ボイスストリーム
Voicestream,ボイド
void,巻
vol,流動性
volatile,乱高下
volatility,火山の
volcanic,火山
volcano,ハタネズミ
vole,意志
volition,意志の
volitional,フォルクスワーゲン
Volkswagen,ボレー
volley,バレーボール
volleyball,ボルト
volt,電圧
voltage,ボルテール
Voltaire,弁舌さわやかな
voluble,容積
volume,ボリューム
volumes,容積測定の
volumetric,膨大な
voluminous,自発的に
voluntarily,自主的な
voluntary,ボランティア
volunteer,志願
volunteering,ボランティア活動
volunteerism,官能的な
voluptuous,ボルボ
Volvo,嘔吐
vomit,嘔吐
vomiting,フォン
von,ブードゥー
Voodoo,食欲旺盛な
voracious,渦
vortex,ボルテックス
vortexed,投票
vote,有権者
voter,投票
voting,奉納の
votive,保証する
vouch,バウチャー
voucher,vous
vous,誓い
vow,母音
vowel,声
vox,航海
voyage,ボイジャー
voyager,ヴォイジャー
voyageur,盗撮
voyeur,のぞき見
voyeurism,のぞき
voyeuristic,VT
VT,バルカン
Vulcan,低俗
vulgar,俗物
vulgarian,下品
vulgarity,流布本
vulgate,脆弱性
vulnerability,脆弱な
vulnerable,ハゲワシ
vulture,VW
VW,w
