p,PA
PE,エンドウ
pea,ピーボディ
Peabody,平和
peace,平和な
peaceable,穏やかな
peaceful,平和的に
peacefully,peacekeep
peacekeep,平和維持軍
peacekeeper,調停者
peacemaker,平和運動家
peacenik,平時
peacetime,桃
peach,ピーチツリー
peachtree,孔雀
peacock,ピーク
peak,ピール
peal,ピーナッツ
peanut,梨
pear,真珠
pearl,真珠のような
pearly,ピアソン
Pearson,農民
peasant,農民
peasantry,泥炭
peat,小石
pebble,小石の多い　
pebbly,ピーカン
pecan,微罪
peccadillo,ペック
peck,くちばし
pecker,怒りっぽい　
peckish,ペクチン
pectin,胸筋
pectoral,奇妙な
peculiar,特異性
peculiarity,妙に
peculiarly,教育的な
pedagogic,教育学
pedagogy,ペダル
pedal,融通が利かない人
pedant,知識をひけらかす
pedantic,衒学
pedantry,売り歩く
peddle,行商人
peddler,台座
pedestal,歩行者
pedestrian,小児科の
pediatric,小児科医
pediatrician,小児科
pediatrics,輪タク
pedicab,ペディキュア
pedicure,血統
pedigree,ペディメント
pediment,小児愛者
pedophile,小児性愛
pedophilia,ペドロ
Pedro,おしっこ
pee,ピーク
peek,いないいないばあ
peekaboo,覗く
peeked,ピール
peel,のぞき見
peep,のぞき穴
peephole,ピア
peer,貴族
peerage,ピアリング
peered,無比
peerless,不満
peeve,イライラした
peeved,気難しい　
peevish,ペグ
peg,ペガサス
Pegasus,軽蔑的な
pejorative,北京
Peking,ペリカン
pelican,ペレット
pellet,ペレット化
pelleted,peloton
peloton,毛皮
pelt,骨盤の
pelvic,骨盤
pelvis,PEN
PEN,刑法の
penal,罰する
penalize,ペナルティ
penalty,苦行
penance,ペナン
Penang,傾向
penchant,鉛筆
pencil,係争中　
pend,ペンダント
pendant,保留中
pending,優柔不断な
pendulous,振り子
pendulum,ペネロペ
Penelope,浸透度
penetrance,浸透する
penetrate,浸透
penetration,ペンギン
penguin,ペニシリン
penicillin,半島
peninsula,半島の
peninsular,ペニス
penis,懺悔
penitence,後悔している
penitent,刑務所
penitentiary,習字
penmanship,ペン
Penn,ペナント
pennant,J.C Penney 
Penney,一文無し
penniless,ペンシルベニア州
Pennsylvania,ペニー
penny,Pennzoil
Pennzoil,ペンサコラ
Pensacola,年金
pension,年金受給者
pensioner,物思いに沈んだ
pensive,傾斜した屋根
pent,米国国防総省
Pentagon,五種競技
pentathlon,ペンテコステ派の
Pentecostal,ペントハウス
penthouse,ペンティアム
pentium,最後から2番目の
penultimate,半影
penumbra,ペオン
peon,牡丹
peony,人
people,気力
pep,コショウ
pepper,ペッパーコーン
peppercorn,ペパーミント
peppermint,ペパロニ
pepperoni,ピリッとした
peppery,元気いっぱいの
peppy,ペプシ
Pepsi,ペプシコ
Pepsico,ペプシン
pepsin,ペプチダーゼ
peptidase,ペプチド
peptide,ペプトン
peptone,あたり
per,知覚できる
perceivable,気づく
perceive,パーセント
percent,パーセンテージ
percentage,パーセンタイル値
percentile,知覚できる
perceptible,知覚
perception,明敏な
perceptive,知覚の
perceptual,パーチ
perch,浸透する
percolate,パーコレーター
percolator,パーカッション
percussion,打楽器奏者
percussionist,打楽器の
percussive,経皮的な
percutaneous,地獄
perdition,長旅
peregrination,ペレグリン
peregrine,強制的な
peremptory,多年生の
perennial,長年にわたって
perennially,ペレストロイカ
perestroika,ペレス
Perez,パーフェクト
perfect,完璧
perfection,完璧主義者
perfectionist,完璧に
perfectly,背信
perfidy,穿孔
perforation,必然的に
perforce,実行する
perform,パフォーマンス
performance,パフォーマー
performer,実行
performing,香水
perfume,香水の
perfumed,おざなりに
perfunctorily,おざなりの
perfunctory,潅流液
perfusate,perfuse
perfuse,灌流
perfused,灌流
perfusion,たぶん
perhaps,ペリ
peri,関節周囲の
periarticular,ペリクレス
Pericle,周皮細胞
pericyte,危険
peril,危険な
perilous,危険なくらい
perilously,周囲
perimeter,周産期の
perinatal,核周囲の
perinuclear,期間
period,定期的な
periodic,定期的な
periodical,定期的に
periodically,周期性
periodicity,歯周の
periodontal,巡回
peripatetic,周辺
peripheral,周辺
periphery,ペリプラズム
periplasmic,ペリスコープ
periscope,滅びる
perish,腐りやすい　
perishable,柱廊
peristyle,腹膜の
peritoneal,腹膜炎
peritonitis,欺く
perjure,偽証の
perjured,偽証
perjury,パーク
perk,パーキンス
Perkins,元気な
perky,パール
Perl,パーマ
perm,永久凍土層
permafrost,永続性
permanence,パーマネント
permanent,永久に
permanently,透過性
permeability,透過化
permeabilization,透過性
permeabilized,透過性の
permeable,浸透する
permeate,許容される
permissible,許可
permission,寛容な
permissive,寛大さ
permissiveness,許可
permit,順列
permutation,悪質な
pernicious,peroration
peroration,ペルオキシダーゼ
peroxidase,過酸化
peroxidation,過酸化物
peroxide,ペルオキシソーム
peroxisome,垂直
perpendicular,犯す
perpetrate,加害者
perpetrator,パーペチュアル
perpetual,絶え間なく
perpetually,永続させる
perpetuate,生まれついた
perpetuated,永久
perpetuity,当惑した
perplexed,困惑させる
perplexing,当惑
perplexity,ペリー
Perry,迫害する
persecute,迫害
persecution,迫害者
persecutor,ペルセポネ
Persephone,ペルセウス
Perseus,忍耐力
perseverance,辛抱する
persevere,パーシング
Pershing,ペルシア
Persia,ペルシア語
Persian,茶化し
persiflage,柿
persimmon,主張する
persist,固執
persistence,永続的な
persistent,しつこく
persistently,人
person,ペルソナ
persona,人に好かれる
personable,人物
personage,パーソナル
personal,パーソナリティ
personality,パーソナライズ
personalize,個人的に
personally,擬人
personification,化身
personified,擬人化する
personify,職員
personnel,視点
perspective,汗
perspiration,説得する
persuade,説得
persuasion,説得力のある
persuasive,説得力
persuasively,活発な
pert,関連する
pertain,該当する
pertinent,混乱させる
perturb,ろうばい
perturbation,ペルー
Peru,熟読
perusal,熟読する
peruse,ペルーの
Peruvian,広がる
pervade,広がる
pervasive,ひねくれた
perverse,強情
perversely,倒錯
perversion,つむじ曲がり
perversity,変態
pervert,変な
perverted,ペセタ
peseta,厄介な
pesky,ペソ
peso,悲観的な見方
pessimism,悲観主義者
pessimist,悲観的
pessimistic,害虫
pest,苦しめる
pester,農薬
pesticide,疫病
pestilence,すりこぎ
pestle,PET
PET,花弁
petal,ピート
Pete,ピーター
Peter,ピーターズバーグ
Petersburg,プチ
petit,小柄な
petite,請願
petition,申立人
petitioner,ペトラ
Petra,石化した
petrified,石油の
petro,石油化学製品
petrochemical,ガソリン
petrol,石油
petroleum,ペチコート
petticoat,ペティット
pettitte,ささいな
petty,かんしゃく
petulance,不機嫌な
petulant,ペチュニア
petunia,ピュー
pew,ピューター
pewter,PFAM
PFAM,フーッ
pfft,ファイザー
Pfizer,PFPP
PFPP,PG
PG,PGA
PGA,PGE
PGE,pH値
pH,ファージ
phage,食細胞
phagocyte,食作用
phagocytosis,コチョウラン
phalaenopsis,趾骨
phalanx,ファントム
phantom,ファラオ
Pharaoh,製薬
pharma,薬剤
pharmaceutical,ファルマシア
Pharmacia,薬剤師
pharmacist,薬物動態学的な
pharmacokinetic,薬理学的な
pharmacologic,薬理学的な
pharmacological,薬理学
pharmacology,薬局
pharmacy,咽頭の
pharyngeal,咽頭
pharynx,段階
phase,相の
phasic,博士号
PhD,フェニルアラニン
Phe,キジ
pheasant,表現図
phenogram,フェノール
phenol,天才
phenom,現象
phenomena,驚異的な
phenomenal,驚異的
phenomenally,現象
phenomenon,表現型
phenotype,表現型の
phenotypic,表現型
phenotypically,フェニルアラニン
phenylalanine,フェロモンの
pheromonal,フェロモン
pheromone,やれやれ
phew,φ
phi,フィル
Phil,フィラデルフィア
Philadelphia,フィランダー
philander,遊び人
philanderer,博愛の
philanthropic,慈善家
philanthropist,慈善活動
philanthropy,フィルハーモニー
philharmonic,フィリップ
Philip,フィリピン
Philippine,ペリシテ
Philistine,フィリップ
Phillip,言語学の
philological,言語学者
philologist,文献学
philology,哲学者
philosopher,哲学的
philosophic,哲学的
philosophical,哲学的に
philosophically,哲学的に思索する
philosophize,哲学
philosophy,静脈炎
phlebitis,痰
phlegm,無気力な
phlegmatic,宿根草
phlox,恐怖症
phobia,恐怖症の
phobic,フェニキア
Phoenicia,フェニキア
Phoenician,フェニックス
Phoenix,電話
phone,音素
phoneme,フォネティック
phonetic,音声学
phonetically,音声学
phonetics,音の
phonic,蓄音機
phonograph,音韻論
phonology,偽の
phony,ちぇっ！
phooey,ホスファターゼ
phosphatase,リン酸塩
phosphate,ホスファチジルコリン
phosphatidylcholine,ホスファチジルイノシトール
phosphatidylinositol,リン
phospho,ホスホリパーゼ
phospholipase,リン脂質
phospholipid,蛍光体
phosphor,ホスホイメージャー
phosphorimager,リン
phosphorus,リン酸化する
phosphorylate,リン酸化
phosphorylated,リン酸化反応
phosphorylation,フォト
photo,光化学
photochemical,コピー機
photocopier,コピー
photocopy,フォトジェニック
photogenic,写真
photograph,カメラマン
photographer,写真の
photographic,写真撮影
photography,フォトジャーナリスト
photojournalist,顕微鏡写真
photomicrograph,光子
photon,光周期
photoperiod,感光体
photoreceptor,フォトショップ
photoshop,光合成
photosynthesis,光合成の
photosynthetic,PHP
PHP,フレーズ
phrase,言葉で表現
phrased,表現
phraseology,言葉遣い
phrasing,フタル酸エステル
phthalate,系統発生の
phyletic,系統発生的な
phylogenetic,系統発生的に
phylogenetically,系統発生
phylogeny,(分類学上の)門
phylum,物理的
physical,物理的に
physically,医師
physician,物理学者
physicist,物理学
physics,人相
physiognomy,理学
physiography,生理的な
physiologic,生理的な
physiological,生理的に
physiologically,生理学者
physiologist,生理学
physiology,体格
physique,植物性エストロゲン
phytoestrogen,疫病菌
phytophthora,パイ
pi,ピアジェ
Piaget,ピアニスト
pianist,ピアノ
piano,広場
piazza,PIC
pic,パイカ
pica,機知に富む人
picador,ピカレスク
picaresque,ピカソ
Picasso,つまらない　
picayune,ピッコロ
piccolo,ピック
pick,ピッカー
picker,デモ参加者
picket,ピッキング
picking,採集物
pickings,ピクルス
pickle,漬物の
pickled,すり
pickpocket,拾う
pickup,うるさい　
picky,ピクニック
picnic,picnicker
picnicker,ピコ
pico,ピコルナウイルス
picornavirus,絵画のような
pictorial,絵
picture,絵のように美しい　
picturesque,おしっこ
piddle,ピジン
pidgin,パイ
pie,作品
piece,少しずつ
piecemeal,雑色の
pied,ピードモント
piedmont,桟橋
pier,ピアス
pierce,ピアス
pierced,ピアス
piercing,ピエール
Pierre,信心深さ
piety,PIF
PIF,piffle
piffle,豚
pig,鳩
pigeon,分類棚
pigeonhole,豚のような
piggish,子豚
piggy,ピギーバック
piggyback,子豚
piglet,顔料
pigment,色素沈着
pigmentation,色素性の
pigmented,ピグテール
pigtail,パイク
pike,けちん坊
piker,ピラスター
pilaster,杭
pile,玉突き事故
pileup,くすねる
pilfer,巡礼者
pilgrim,巡礼
pilgrimage,ピル
pill,略奪
pillage,柱
pillar,ピルボッ??クス
pillbox,さらし台
pillory,枕
pillow,枕カバー
pillowcase,パイロット
pilot,有人
piloted,ピマ族
Pima,ピメント
pimento,ポン引き
pimp,にきび
pimple,pimply
pimply,ピン
pin,ピンチ
pinch,松
pine,パイナップル
pineapple,松林
pinewood,松
piney,ピン
ping,ピンヘッド
pinhead,ピンク
pink,小指
pinkie,左がかった
pinko,耳介
pinna,頂点
pinnacle,ピノチェト
Pinochet,ピノクル
pinochle,ピンポイント
pinpoint,ピンストライプ
pinstripe,ピンストライプ
pinstriped,パイント
pint,ピンタ
pinta,ピント
pinto,ピンナップ
pinup,風車
pinwheel,パイオニア
pioneer,先駆的な
pioneering,敬虔な
pious,斑点
pip,パイプ
pipe,パイプライン
pipeline,パイパー
piper,ピペット
pipette,パイピング
piping,ピピン
pippin,ピリッと辛い　
piquant,ピケ
pique,憤慨させられる
piqued,著作権侵害
piracy,ピラニア
piranha,海賊
pirate,ピルエット
pirouette,ピサ
Pisa,ピスカタウェイ
Piscataway,魚座
Pisces,ふん！
pish,小便
piss,腹を立てて
pissed,不愉快な
pissy,ピスタチオ
pistachio,雌しべ
pistil,ピストル
pistol,ピストン
piston,エンドウ属
pisum,ピット
pit,ピタパン
pita,ピッチ
pitch,ピッチャー
pitcher,フォーク
pitchfork,ピッチング
pitching,大道商人
pitchman,落とし穴
pitfall,簡潔な
pithy,哀れな
pitiable,哀れな
pitiful,哀れな
pitifully,情け容赦のない
pitiless,ピトレ
Pitre,ピット
Pitt,わずかな収入
pittance,ピッツバーグ
Pittsburgh,下垂体
pituitary,同情
pity,ピボット
pivot,極めて重要な
pivotal,PIX
pix,ピクサー
Pixar,ピクセル
pixel,小妖精
pixie,ピクシー
pixy,ピザ
pizza,ピザ屋
pizzeria,PKA
PKA,PKC
PKC,PKF
PKF,PL
PL,プラカード
placard,なだめる
placate,場所
place,偽薬
placebo,配置
placement,胎盤
placenta,胎盤の
placental,砂鉱
placer,穏やかな
placid,配置 
placing,プラコード
placode,盗作
plagiarism,盗作者
plagiarist,剽窃する
plagiarize,盗作
plagiarized,伝染病
plague,格子縞の
plaid,平野
plain,私服
plainclothes,はっきりと
plainly,質素
plainness,原告
plaintiff,悲しげな
plaintive,ひだ
plait,プラン
plan,平面
planar,プラナリア
planaria,プラナリア
planarian,プレーン
plane,惑星
planet,プラネタリウム
planetarium,惑星の
planetary,plangent
plangent,厚板
plank,プランクトン
plankton,計画された
planned,プランナー
planner,計画
planning,プラノ市
Plano,プラント
plant,オオバコ
plantain,足の裏
plantar,プランテーション
plantation,プランター
planter,植え付け
planting,プラーク
plaque,プラズマ
plasma,プラスミド
plasmid,プラスミン
plasmin,プラスミノーゲン
plasminogen,マラリア原虫
plasmodial,マラリア原虫
plasmodium,しっくい
plaster,漆喰(しっくい)を塗った
plastered,プラスチック
plastic,可塑性
plasticity,プラスチック
plastics,プラスチド
plastid,プレート
plate,高原
plateau,めっきした
plated,血小板
platelet,プラットフォーム
platform,プラチナ
platinum,凡俗
platitude,プラトン
Plato,プラトニック
platonic,小隊
platoon,大皿
platter,カモノハシ
platypus,かっさい
plaudit,もっともらしさ
plausibility,もっともらしい　
plausible,もっともらしく
plausibly,遊ぶ
play,プラヤ
Playa,再生
playback,戦略
playbook,プレイボーイ
playboy,プレイヤー
player,ふざけた
playful,ふざけて
playfully,茶目
playfulness,遊び場
playground,劇場
playhouse,遊び
playing,プレイリスト
playlist,遊び友達
playmate,プレーオフ
playoff,ベビーサークル
playpen,遊戯室
playroom,プレイステーション
playstation,おもちゃ
plaything,プレイタイム
playtime,劇作家
playwright,広場
plaza,PLE
PLE,嘆願
plea,弁護する
plead,嘆願
pleading,楽しい　
pleasant,愉快に
pleasantly,冗談
pleasantry,お願いする
please,喜んで
pleased,楽しい　
pleasing,楽しく
pleasingly,楽しい
pleasurable,喜び
pleasure,プリーツ
pleat,プリーツの
pleated,人工レザー
pleather,国民投票
plebiscite,pled
pled,誓約
pledge,更新世
Pleistocene,豊富な
plentiful,たくさん
plenty,充満
plenum,過多
plethora,胸膜の
pleural,プレキシガラス
plexiglass,網状組織
plexus,柔軟な
pliable,しなやかな
pliant,ペンチ
pliers,窮状
plight,ポロンポロンと鳴る
plink,柱脚
plinth,PLO
PLO,とぼとぼと歩く
plod,倍数性
ploidy,plonk
plonk,.ドブン(と落ちる)
plop,プロット
plot,plotline
plotline,プロッター
plotter,plotz
plotz,プラウ
plough,農業従事者
ploughman,チドリ
plover,プラウ
plow,策略
ploy,摘む
pluck,勇気ある
plucky,プラグ
plug,梅
plum,羽
plumage,垂直
plumb,配管工
plumber,配管
plumbing,プルーム
plume,急落
plummet,プラムの
plummy,ふくよか
plump,略奪
plunder,略奪
plundered,プランジ
plunge,プランジ??ャー
plunger,plunk
plunk,複数
plural,多元論
pluralism,多数
plurality,プラス
plus,豪華な
plush,冥王星
Pluto,富豪
plutocrat,プルトニウム
plutonium,プライ
ply,プリマス
Plymouth,合板
plywood,PM
PM,PMA
PMA,PMM
PMM,ピコモル
pmol,ニューマチック
pneumatic,肺炎球菌の
pneumococcal,肺炎球菌
pneumococcus,肺細胞
pneumocyte,肺炎
pneumonia,PNG
PNG,PO
po,侵入する
poach,ポーチド
poached,密猟者
poacher,POB
POB,あばたのようになって
pocked,ポケット
pocket,手帳
pocketbook,あばた
pockmark,ポコノ
Pocono,ポッド
pod,足病医
podiatrist,表彰台
podium,有足細胞
podocyte,詩
poem,詩人
poet,詩的な
poetic,詩的な
poetical,詩的に
poetically,詩
poetry,ポゴ
pogo,大虐殺
pogrom,痛切さ
poignancy,痛烈な
poignant,ポインセチア
poinsettia,ポイント
point,ポイントキャスト
Pointcast,尖った
pointed,あからさまに
pointedly,ポインタ
pointer,無意味な
pointless,点数
points,先のとがった
pointy,ポイズ
poise,落ち着きのある
poised,毒
poison,毒殺者
poisoner,中毒
poisoning,有毒
poisonous,突く
poke,ポーカー
poker,ポー
pokey,POL
pol,ポーランド
Poland,極性の
polar,ポラリス
Polaris,極性
polarity,偏光
polarization,分極する
polarize,ポラロイド
polaroid,ポール
pole,論争
polemic,論争の
polemical,警察
police,警官
policeman,婦人警官
policewoman,ポリシー
policy,政策立案者
policymaker,ポリオ
polio,ポリッシュ
polish,洗練された
polished,ポリッシャー
polisher,研磨
polishing,丁寧
polite,丁寧に
politely,丁寧
politeness,礼儀正しさ
politesse,政治
politic,政治的
political,政治的に
politically,政治家
politician,政治化
politicize,政治活動
politicking,政治家
politico,政治
politics,政治組織
polity,ポルカ
polka,世論調査
poll,ポラック
pollack,ポラード
pollard,花粉
pollen,受粉する
pollinate,授粉
pollination,ポーリング
polling,世論調査専門家
pollster,汚染物質
pollutant,汚染する
pollute,汚染された
polluted,汚染
polluter,汚染
pollution,ポルクス
Pollux,ポロ
polo,ポルターガイスト
poltergeist,ポリ
poly,ポリアクリルアミド
polyacrylamide,ポリアデニル化
polyadenylation,ポリカーボネート
polycarbonate,多色の
polychrome,ポリクローナル
polyclonal,ポリエステル
polyester,ポリエチレン
polyethylene,一夫多妻
polygamy,ポリグロット
polyglot,ポリゴン
polygon,ポリグラフ
polygraph,博学者
polymath,ポリマー
polymer,ポリメラーゼ
polymerase,重合体の
polymeric,重合
polymerization,多形の
polymorphic,多型
polymorphism,ポリネシアの
Polynesian,多項式
polynomial,ポリープ
polyp,ポリペプチド
polypeptide,ポリフェノール
polyphenol,ポリリン酸塩
polyphosphate,倍数体
polyploid,倍数性
polyploidy,ポリプロピレン
polypropylene,多糖類
polysaccharide,多義性
polysemy,ポリソーム
polysome,ポリスチレン
polystyrene,ポリテクニック
polytechnic,ポリトピック
polytopic,多価不飽和の
polyunsaturated,ポリウレタン
polyurethane,POM
POM,ポンベ
pombe,ザクロ
pomegranate,ポモナ
Pomona,華やかさ
pomp,ポンペイ
Pompeii,尊大
pomposity,尊大な
pompous,ポンセ
ponce,ポンチョ
poncho,池
pond,熟考する
ponder,熟考
pondered,重々しい　
ponderous,トウモロコシパン
pone,ポン
pong,ポンティアック
Pontiac,教皇
pontiff,司教の
pontifical,もったいぶって話す
pontificate,ポンツーン
pontoon,ポニー
pony,ポニーテ??ール
ponytail,うんち
poo,犬
pooch,プードル
poodle,パッと消える
poof,プーさん
pooh,プール
pool,うんち
poop,貧しい　
poor,貧しい　
poorer,最貧の 
poorest,不完全に
poorly,ポップ
pop,ポップコーン
popcorn,教皇
Pope,ポプラ
poplar,父さん
poppa,ポップ
popped,ポッパー
popper,ポッピン
poppin,ケシ
poppy,たわ言
poppycock,アイスキャンデー
popsicle,民衆
populace,人気のある
popular,人気
popularity,普及
popularize,一般に
popularly,人を居住させる
populate,人口
population,人民主義
populism,ポピュリスト
populist,人口の多い　
populous,磁器
porcelain,ポーチ
porch,豚の
porcine,ヤマアラシ
porcupine,細孔
pore,鯛
porgy,豚肉
pork,ポルノの
porn,ポルノ
