Lemma
（見出し語）,l
literally,文学の
literary,学問のある
literate,文学者
literati,文学
literature,しなやかな
lithe,リチウム
lithium,リトグラフ
lithograph,リソグラフィー
lithography,リトアニア
Lithuania,リトアニア語
Lithuanian,訴訟当事者
litigant,訴訟を起こす
litigate,訴訟
litigation,訴訟好きな
litigious,リトマス
litmus,リットル
litre,ごみ
litter,同腹きょうだい  
littermate,少し
little,典礼の
liturgical,典礼
liturgy,住みやすい
livable,生きる
live,ライブジャーナル
livejournal,活気
liveliest,生活
livelihood,活発な
lively,活気づける
liven,肝臓
liver,リバプール
Liverpool,カラーリング
livery,生活
lives,家畜
livestock,青黒い　
livid,生活
living,リビングストン
Livingston,リズ
Liz,トカゲ
lizard,LJ
LJ,LL
LL,ラマ
llama,リャノ
Llano,ロイド
Lloyd,LNCaP細胞
LNCaP,ドジョウ
loach,負荷
load,ローディング
loading,ローフ
loaf,ローファー
loafer,ローム
loam,ローン
loan,外来語
loanword,嫌がって
loath,嫌う
loathe,嫌悪
loathing,忌まわしい　
loathsome,LOB
LOB,ロビー
lobby,ロビー活動
lobbying,ロビイスト
lobbyist,耳たぶ
lobe,ロボトミー
lobotomy,ロブスター
lobster,LOC
LOC,地元
local,場所
locale,地域
locality,ローカライゼーション
localization,ローカライズする
localize,局部的な
localized,局所的に
locally,見つける
locate,場所
location,湖
loch,ロック
lock,ロック
locked,ロッカー
locker,ロケット
locket,ロックハート
Lockhart,ロッキード
Lockheed,ロックアウト
lockout,鍵屋
locksmith,ロックステップ
lockstep,ロックアップ
lockup,ロコ
loco,移動
locomotion,機関車
locomotive,運動
locomotor,軌跡
locus,イナゴ
locust,ことばづかい
locution,鉱脈
lode,ロッジ
lodge,宿泊
lodging,ロフト
loft,高尚な
lofty,ログ
log,ローガンベリー
loganberry,対数
logarithm,対数の
logarithmic,ログブック
logbook,ロガー
logger,ロッジア
loggia,伐木搬出
logging,ロジック
logic,論理的
logical,論理的に
logically,論理学者
logician,ロジスティック
logistic,物流
logistics,行き詰まり
logjam,対数正規の
lognormal,ロゴ
logo,ロイン
loin,ロアール
Loire,ぶらつく
loiter,LoJack [盗難車探索システム
LoJack,ロリータ
Lolita,だらしなく座る
loll,ロリポップ
lollipop,キャンディー
lolly,ローマックス
Lomax,ロンボク島
Lombok,ロンドン
London,ロンドン市民
Londoner,孤独な
lone,孤独
loneliness,孤独な
lonely,一匹狼
loner,寂しい
lonesome,長い　
long,憧れ
longed,より長い　
longer,最長
longest,長寿
longevity,手書き
longhand,ロングホーン
longhorn,憧れ
longing,経度
longitude,経度の
longitudinal,ロングマン
Longman,港湾労働者
longshoreman,長年にわたる
longstanding,長期
longterm,長い時間
longtime,ルー
loo,見る
look,見て
looked,見える
looking,外を見る
lookout,織機
loom,間近に迫った
loomed,ローン
loon,躁鬱
loony,ループ
loop,抜け穴
loophole,愚かな
loopy,緩い　
loose,ゆるく
loosely,緩める
loosen,弛緩
loosening,緩い　
looser,略奪する
loot,略奪
looted,略奪者
looter,略奪
looting,切り調える
lop,ロペ
lope,ロペス
Lopez,偏った
lopsided,おしゃべりな
loquacious,ビワ
loquat,LOR
lor,ロラン
loran,君主
lord,堂々と
lordly,支配
lordship,なんてこった
lordy,伝承
lore,ロレーヌ
Lorraine,大型トラック
lorry,LORUS
LORUS,ロサンゼルス
Los,失う
lose,敗者
loser,負け
losing,損失
loss,失われた
lost,ロット
lot,ローション
lotion,lots ofの縮約形
lotsa,ロット
Lott,ロッタ
lotta,宝くじ
lottery,ロト
lotto,蓮
lotus,大声で
loud,大声
louder,最大音量
loudest,大声で
loudly,loudmouth
loudmouth,ラウドネス
loudness,スピーカー
loudspeaker,ルイ
Loui,ルイーズ
Louise,ルイジアナ州
Louisiana,ルイビル
Louisville,ラウンジ
lounge,シラミ
louse,気に食わない
lousy,腰をかがめる
lout,ルーブル美術館
Louvre,愛らしい
lovable,愛
love,愛らしい　
loveable,愛さ
loved,最も美しい　
loveliest,愛らしさ
loveliness,愛らしい
lovely,恋人
lover,恋に悩む
lovesick,愛する
loving,愛情を込めて
lovingly,低い　
low,ローボール
lowball,教養のない
lowbrow,真相
lowdown,下側
lower,小文字
lowercase,低下
lowering,荒れ模様の
lowery,最下位
lowest,低地
lowland,卑しい　
lowly,液体酸素
lox,忠実な
loyal,ロイヤリスト
loyalist,忠誠心
loyalty,ひし形
lozenge,LP
LP,LSC
LSC,LTR
LTR,潤滑油
lube,潤滑剤
lubricant,潤滑
lubricate,潤滑
lubrication,ルカ
Luca,光る
lucent,明快な
lucid,明快
lucidity,ルシフェラーゼ
Luciferase,運
luck,最も幸運な
luckiest,幸いにも
luckily,失敗して
luckless,ラッキー
lucky,もうかる
lucrative,もうけ
lucre,ルーシー
Lucy,ばかげた
ludicrous,ルートヴィヒ
Ludwig,ラグ
lug,荷物
luggage,ラガー
lugger,悲しげな
lugubrious,ルイス
Luis,ルーカス
Lukas,ルーク
Luke,ぬるい　
lukewarm,小康状態
lull,子守唄
lullaby,ルル
lulu,腰部
lumbar,製材
lumber,木こり
lumberjack,ルーメン
lumen,管腔の
luminal,光る
luminary,明るい　
luminous,しこり
lump,腫瘍摘出手術
lumpectomy,ルンペン
lumpen,クアラルンプール
Lumpur,塊の
lumpy,LUN
LUN,ルナ
Luna,狂気
lunacy,月の
lunar,狂人
lunatic,ランチ
lunch,弁当箱
lunchbox,昼食会
luncheon,ランチルーム
lunchroom,ランチタイム
lunchtime,肺
lung,突進
lunge,ルピナス
lupine,ループス
lupus,窮地
lurch,ルアー
lure,身の毛もよだつような
lurid,潜む
lurk,潜んでいる人
lurker,甘美
luscious,青々とした
lush,欲望
lust,光沢
luster,貪欲な
lustful,光沢のある
lustrous,元気な
lusty,リュート
lute,黄体
lutea,黄体の
luteal,ルター
Luther,ルッツ
Lutz,luv
luv,ルクス
lux,ぜいたく
luxe,ルクセンブルク
Luxembourg,ルクソール
Luxor,華麗な
luxuriant,楽しむ
luxuriate,豪華な
luxurious,贅沢
luxury,アク
lye,横たわっている
lying,ライム
lyme,リンパ
lymph,リンパ管
lymphatic,リンパ芽球
lymphoblast,リンパ球
lymphocyte,リンパ球の
lymphocytic,リンパの
lymphoid,リンパ腫
lymphoma,リンパ増殖
lymphoproliferative,リンチ
lynch,リン
Lynn,リンクス
lynx,凍結乾燥された
lyophilized,ライラ
Lyra,歌詞
lyric,叙情的な
lyrical,叙情
lyrically,叙情
lyricism,作詞家
lyricist,歌詞
lyrics,溶解物
lysate,溶解する
lyse,溶解した
lysed,リジン
Lysine,溶解
lysis,溶原性の
lysogenic,リソソームの
lysosomal,リソソーム
lysosome,リゾチーム
lysozyme,溶菌
lytic,m
