r,RA
reassemble,再組み立て
reassembled,再び主張する
reassert,見直す
reassess,再評価
reassessment,再び割り当てる
reassign,取り戻す
reassume,安心
reassurance,安心させる
reassure,心強い　
reassuring,目覚め
reawaken,リベート
rebate,レベッカ
Rebecca,反乱
rebel,反乱
rebellion,反抗的な
rebellious,新生
rebirth,生まれ変わった
reborn,リバウンド
rebound,再放送
rebroadcast,拒絶
rebuff,再構築する
rebuild,再建
rebuilding,非難
rebuke,判じ絵
rebus,反論する
rebut,反論
rebuttal,反抗
recalcitrance,扱いにくい　
recalcitrant,計算し直す 
recalculate,想起
recall,リコール
recalling,取り消す
recant,取り消し
recantation,再生タイヤ
recap,要約する
recapitulate,奪還
recapture,奪還
recaptured,改鋳
recast,後退する
recede,後退
receded,レシート
receipt,債権
receivable,受け取る
receive,受信された
received,受信機
receiver,受け入れ
receiving,最近
recent,最近
recently,レセプタクル
receptacle,レセプション
reception,受付
receptionist,受容
receptive,感受性
receptivity,受容体
receptor,リセス
recess,不況
recession,劣性
recessive,再充電
recharge,精選された
recherche,常習犯
recidivism,レシピ
recipe,受信者
recipient,相互
reciprocal,往復移動する
reciprocate,互恵
reciprocity,リサイタル
recital,朗読
recitation,レチタティーヴオ
recitative,暗唱する
recite,列挙
recited,無謀
reckless,無謀に
recklessly,無謀
recklessness,数える
reckon,報い
reckoning,取り戻す
reclaim,干拓
reclamation,リクライン
recline,リクライニング
recliner,世捨て人
recluse,引きこもりがちな
reclusive,認識する
recognise,認識
recognised,認識
recognition,認識できる
recognizable,認識可能
recognizably,誓約
recognizance,認識する
recognize,認識
recognizing,リコイル
recoil,思い出す
recollect,回想
recollection,組み換え体
recombinant,リコンビナーゼ
recombinase,組み換え
recombination,再結合する 
recombine,推薦する
recommend,推薦
recommendation,推奨される
recommended,報酬
recompense,調整する
reconcile,和解する
reconciled,和解
reconciliation,難解な
recondite,修理する
recondition,再配置
reconfiguration,再構成
reconfigured,偵察
reconnaissance,レコンキスタ
Reconquest,レコンキスタ
Reconquista,考え直す
reconsider,再考
reconsideration,再構成する
reconstitute,再構成
reconstituted,再構成
reconstitution,再構成する
reconstruct,復興
reconstruction,レコード
record,レコーダー
recorder,記録
recording,記録管理
recordkeeping,再集計
recount,取り戻す
recoup,リコース
recourse,回復する
recover,回復
recovery,再作成
recreate,再作成
recreated,レクリエーション
recreation,レクリエーションの
recreational,逆襲
recrimination,再発
recrudescence,リクルート
recruit,リクルーター
recruiter,募集
recruiting,募集
recruitment,直腸
rectal,長方形
rectangle,長方形の
rectangular,整流
rectification,整流器
rectifier,修正する
rectify,直線的な
rectilinear,清廉潔白
rectitude,レクター
rector,教区司祭館
rectory,直腸
rectum,側臥位の
recumbent,回復する
recuperate,再発する
recur,再発
recurrence,リカレント
recurrent,反復 
recursion,再帰的な
recursive,忌避する
recuse,リサイクル可能な
recyclable,リサイクル
recycle,再生利用
recycling,赤
red,redcoat
redcoat,赤くなる
redden,赤みを帯びた
reddish,改装する
redecorate,買い戻す
redeem,換金できる
redeemable,救い主
redeemer,再定義する
redefine,償還
redemption,つぐないの
redemptive,再配置する
redeploy,再設計
redesign,再開発する
redevelop,再開発
redevelopment,赤毛
redhead,赤毛
redheaded,リダイレクト
redirect,再発見する
rediscover,再発見
rediscovered,再分配する
redistribute,再分配
redistribution,選挙区
redistricting,貧しい白人農夫
redneck,赤み
redness,やり直する
redo,しのばせる
redolent,やり直し
redone,倍加する
redouble,とりで
redoubt,恐るべき
redoubtable,レドックス
redox,救済
redress,北米インディアン(軽蔑的に)
redskin,減らす
reduce,減少
reduced,縮小できる
reducible,レダクターゼ
reductase,削減
reduction,還元
reductive,冗長性
redundancy,冗長な
redundant,戻ってきた 
redux,レッドウッド
redwood,リーボック
Reebok,リード
reed,甲高い　
reedy,リーフ
reef,冷蔵車
reefer,臭い
reek,リール
reel,再選
reelected,再選
reelection,リエンジニアリング
reengineer,再入力
reenter,再確立
reestablish,再評価
reevaluate,リーブ
reeve,再審査
reexamination,参照
ref,refashion
refashion,食堂
refectory,参照する
refer,審判
referee,リファレンス
reference,参照
referenced,国民投票
referendum,指示対象
referent,紹介
referral,リフィル
refill,借り換える
refinance,借り換え
refinancing,リファイン
refine,洗練された
refined,改良
refinement,精製所
refinery,精錬
refining,反映する
reflect,反射率
reflectance,反射
reflection,反射する
reflective,反射鏡
reflector,反射
reflex,反射的
reflexive,反射的に
reflexively,逆流
reflux,焦点を再び合わせる
refocus,改革
reform,改革
reformation,少年院
reformatory,改質装置
reformer,改革主義の
reformist,屈折
refraction,屈折
refractive,耐火物
refractory,控える
refrain,リフレッシュ
refresh,リフレッシュ
refreshed,リフレッシャー
refresher,爽やか
refreshing,さわやかに
refreshingly,リフレッシュメント
refreshment,軽食
refreshments,冷蔵する
refrigerate,冷蔵
refrigerated,冷凍
refrigeration,冷蔵庫
refrigerator,燃料補給
refuel,避難所
refuge,難民
refugee,払い戻し
refund,改装する
refurbish,拒否
refusal,拒む
refuse,反論
refutation,反論する
refute,REG
REG,取り戻す
regain,リーガル
regal,楽しませる
regale,式服
regalia,観点
regard,関係なく
regardless,よろしく
regards,レガッタ
regatta,摂政
regency,再生する
regenerate,再生
regeneration,回生
regenerative,摂政
regent,レゲエ
reggae,国王殺し
regicide,政権
regime,レジメン
regimen,連隊
regiment,連隊の
regimental,地域
region,地域の
regional,地域的に
regionally,登録
register,レジストラ
registrar,登録
registration,レジストリ
registry,退行
regress,退行
regressed,回帰
regression,後退の
regressive,後悔
regret,痛恨
regretful,悔やんで
regretfully,残念な
regrettable,残念ながら
regrettably,まとめ直す
regroup,レギュラー
regular,規則性
regularity,定期的に
regularly,調整する
regulate,規制
regulated,レギュレーション
regulation,レギュレータ
regulator,規制
regulatory,吐き戻す
regurgitate,リハビリテーション
rehab,修復する
rehabilitate,リハビリテーション
rehabilitation,焼き直し
rehash,リハーサル
rehearsal,リハーサルをする
rehearse,リハーサル
rehearsed,再水和
rehydrated,支配
reign,ライリー
Reilly,払い戻す
reimburse,償還
reimbursement,手綱
rein,生まれ変わり
reincarnated,生まれ変わり
reincarnation,トナカイ
reindeer,強化する
reinforce,強化
reinforcement,増援部隊
reinforcements,元に戻す
reinstate,再導入する
reintroduce,再発明する
reinvent,改革
reinvention,再活性化する
reinvigorate,再発行
reissue,再発行
reissued,繰り返す
reiterate,繰り返し
reiteration,拒絶
reject,拒絶
rejection,喜ぶ
rejoice,喜んだ
rejoiced,再結合する
rejoin,返答
rejoinder,活性化させる
rejuvenate,若返り
rejuvenation,再燃
rekindle,再発
relapse,関連する
relate,関連した
related,関連性
relatedness,関係
relation,リレーショナル
relational,関係
relationship,相対的な
relative,相対的に
relatively,相対論
relativism,相対性
relativity,リラックス
relax,弛緩薬
relaxant,緩和
relaxation,落ち着いた
relaxing,リレー
relay,リリース
release,追いやる
relegate,折れる
relent,容赦ない
relentless,容赦なく
relentlessly,関連
relevance,関連
relevancy,関連した
relevant,信頼性
reliability,信頼できる
reliable,確実に
reliably,信頼
reliance,依存
reliant,遺物
relic,レリーフ
relief,和らげる
relieve,リリーフ投手
reliever,宗教
religion,宗教的な
religious,宗教的に
religiously,放棄する
relinquish,聖遺物箱
reliquary,楽しむ
relish,思い出す
relive,リロード
reload,移動する
relocate,移転
relocation,リラクタンス
reluctance,気が進まない
reluctant,しぶしぶ
reluctantly,頼る
rely,頼る
relying,REM
REM,残る
remain,残り
remainder,遺跡
remains,リメイク
remake,再拘留
remand,発言
remark,顕著
remarkable,著しく
remarkably,再婚
remarriage,再婚
remarried,再婚
remarry,再戦
rematch,レンブラント
Rembrandt,再測定
remeasured,治療の
remedial,救済策
remedy,覚えている
remember,想起
remembering,記憶
remembrance,リマインド
remind,リマインダー
reminder,思い出を語る
reminisce,回想
reminiscence,連想させる
reminiscent,怠慢な
remiss,寛解
remission,付託された権限
remit,送金
remittance,リミックス
remix,レムナント
remnant,リモデル
remodel,改造
remodeling,抗議
remonstrance,自責の念
remorse,後悔
remorseful,無慈悲な
remorseless,リモート
remote,リモートから
remotely,遠隔
remoteness,取り外し可能な
removable,除去
removal,削除する
remove,剥離剤
remover,報酬
remuneration,ルネサンス
renaissance,腎臓の
renal,リネーム
rename,引き裂く
rend,レンダー
render,レンダリング
rendering,ランデブー
rendezvous,演出
rendition,裏切り者
renegade,破る
renege,再交渉する
renegotiate,更新する
renew,再生可能な
renewable,リニューアル
renewal,リノ
Reno,ルノアール
Renoir,放棄する
renounce,改修する
renovate,リフォーム
renovation,名声
renown,名高い
renowned,家賃
rent,レンタル
rental,賃借人
renter,放棄
renunciation,再開する
reopen,再編
reorganization,再編成する
reorganize,再設定する
reorient,代表
rep,再パッケージ化
repackage,塗り替え
repaint,修理
repair,修理工
repairman,賠償
reparation,賠償
reparations,当意即妙の会話
repartee,食事
repast,送還
repatriate,本国送還
repatriation,返済する
repay,返済
repayment,廃止
repeal,リピート
repeat,繰り返される
repeated,繰り返して
repeatedly,リピーター
repeater,撃退する
repel,防虫剤
repellent,悔い改める
repent,後悔
repentance,後悔している
repentant,影響
repercussion,レパートリー
repertoire,レパートリー
repertory,繰り返し
repetition,繰り返し
repetitious,反復的な
repetitive,言い換える
rephrase,交換する
replace,交換
replacement,リプレイ
replay,リプレイ
replayed,リプレイTV 
replaytv,補充する
replenish,補充
replenishment,豊富な
replete,レプリカ
replica,複製する
replicate,複製
replication,返信
reply,レポート
report,報告義務のある
reportable,ルポルタージュ
reportage,報告
reported,伝えられるには
reportedly,レポーター
reporter,報告
reporting,記者の
reportorial,休息
repose,倉庫
repository,再投稿
repost,非難に値する
reprehensible,表す
represent,表現
representation,代表
representative,抑制する
repress,抑制された
repressed,抑圧
repression,抑圧的な
repressive,リプレッサー
repressor,一時的救済
reprieve,叱責
reprimand,懲戒処分を受ける
reprimanded,リプリント
reprint,報復
reprisal,リプライズ
reprise,非難
reproach,無頼漢
reprobate,再生する
reproduce,再現性
reproducibility,再現可能な
reproducible,再現性
reproducibly,再生
reproduction,生殖の
reproductive,再プログラム
reprogram,たしなめる
reprove,爬虫類
reptile,爬虫類
reptilian,レプブリカ
Repubblica,共和国
republic,共和党の
republican,否定する
repudiate,否認
repudiated,否認
repudiation,嫌悪
repugnance,気に食わない
repugnant,拒絶
repulse,撃退
repulsed,反発力
repulsion,反発する
repulsive,評判の良い
reputable,評判
reputation,評判
repute,有名な
reputed,評判では
reputedly,リクエスト
request,要求された
requested,リクエスタ
requester,レクイエム
requiem,必要とする
require,必須
required,要件
requirement,必要
requiring,必要な
requisite,要求
requisition,再読
reread,別の経路に切り替える
reroute,再放送
rerun,再販
resale,リサンプル
resample,リサンプリング
resampled,スケジュールを変更する
reschedule,取り消す
rescind,救助
rescue,救助者
rescuer,調査
research,研究者
researcher,切除
resection,転売する
resell,類似
resemblance,似ている
resemble,似た 
resembled,再送する
resend,憤慨する
resent,怒りっぽい　
resentful,恨み
resentment,予約
reservation,リザーブ
reserve,予約済み
reserved,予備兵
reservist,貯水池
reservoir,リセット
reset,再形成する
reshape,改造
reshuffle,存在する
reside,レジデンス
residence,居住
residency,居住者
resident,居住の
residential,残余
residual,残りかす
residue,辞任する
resign,辞任
resignation,回復力
resilience,弾力性のある
resilient,樹脂
resin,レジスト
resist,抵抗
resistance,耐性
resistant,レジスチン
Resistin,断固たる
resolute,断固として
resolutely,解決
resolution,解決できる
resolvable,解決する
resolve,共鳴
resonance,共振
resonant,共鳴する
resonate,共振器
resonator,吸収
resorption,リゾート
resort,頼った 
resorted,鳴り響く
resound,鳴り響く
resounding,鳴り響く
resoundingly,リソース
resource,機知
resourceful,リソース
resources,尊敬
respect,世間体
respectability,立派な
respectable,敬意を表す
respectful,謹んで
respectfully,それぞれの
respective,それぞれ
respectively,点
respects,呼吸
respiration,人工呼吸器
respirator,呼吸器の
respiratory,呼吸する
respire,小休止
respite,まばゆい
resplendent,反応する
respond,回答者
respondent,応答者
responder,応答
response,責任
responsibility,責任のある
responsible,責任を持って
responsibly,反応する
responsive,反応性
responsiveness,残り
rest,再起動
restart,再び述べる
restate,修正再表示
restatement,レストラン
restaurant,料理店主
restaurateur,安らか
restful,回復
restitution,反抗的な
restive,落ち着きのない
restless,落ち着きなく
restlessly,落ち着きのなさ
restlessness,補充する
restock,復元
restoration,回復の
restorative,リストア
restore,回復
restorer,抑える
restrain,拘束
restrained,拘束
restraint,制限する
restrict,制限された
restricted,制限
restriction,限定的
restrictive,トイレ
restroom,再構築する
restructure,リストラ
restructuring,結果
result,結果
resultant,結果として生じる
resulting,履歴書
resume,再開
resumption,再浮上する
resurface,復活
resurgence,復活
resurgent,復活させる
resurrect,復活
resurrection,蘇生させる
resuscitate,蘇生
resuscitation,再懸濁
resuspended,小売り
retail,小売店
retailer,小売業
retailing,保持する
retain,リテーナ
retainer,取り戻す
retake,報復する
retaliate,報復
retaliation,報復的な
retaliatory,遅らせる
retard,遅滞
retardation,遅
retarded,吐く
retch,再び語る
retell,リテンション
retention,保持
retentive,再テスト
retest,再考
rethink,無口
reticence,寡黙
reticent,網状の
reticular,細網
reticulum,網膜
retina,レチナール
retinal,網膜芽細胞腫
retinoblastoma,レチノイン
retinoic,レチノイド
retinoid,網膜症
retinopathy,付き添い
retinue,リタイア
retire,引退した
retired,退職者
retiree,退職
retirement,就寝
retiring,一新
retool,レトルト
retort,レタッチ
retouch,引き返す
retrace,引っ込める
retract,リトラクタブル
retractable,撤回
retraction,再教育をする
retrain,再生タイヤ
retread,リトリート
retreat,節約する
retrench,縮小
retrenchment,再審
retrial,報復
retribution,報復の
retributive,検索
retrieval,検索する
retrieve,レトリーバー
retriever,レトロ
retro,遡及の
retroactive,遡及的に
retroactively,据え付け
retrofit,レトロフィット
retrofitting,逆行する
retrograde,振り返ってみる
retrospect,回顧展
retrospective,遡及
retrospectively,レトロ転位
retrotransposition,レトロトランスポゾン
retrotransposon,レトロ
retroviral,レトロウイルス
retrovirus,リトライ
retry,リターン
return,帰国子女
returnee,復帰
returning,収益
returns,再統一
reunification,再会
reunion,reunit
reunit,再会する
reunite,再利用可能な
reusable,再利用
reuse,ロイター
Reuter,回転
rev,再評価
revaluation,改造
revamp,血行再建
revascularization,明らかにする
reveal,明らかになった
revealed,明らかにする
revealing,朝礼
reveille,お祭り騒ぎ
revel,啓示
revelation,天啓の
revelatory,reveler
reveler,お祭り騒ぎ
revelry,復讐
revenge,収入
revenue,反響する
reverberate,残響
reverberation,リビア
revere,尊敬
revered,畏敬の念
reverence,牧師
reverend,うやうやしい　
reverent,恭しい　
reverential,うやうやしく
reverently,空想
reverie,逆転
reversal,リバース
reverse,リバーシブル
reversible,復帰
reversion,回顧する
revert,レビュー
review,レビュー
reviewed,評論家
reviewer,罵倒する
revile,悪口
reviled,修正する
revise,リビジョン
revision,修正主義
revisionism,修正主義者
revisionist,再訪
revisit,再訪
revisited,活性化する
revitalize,再活性化
revitalized,復活
revival,信仰復興論者
revivalist,復活させる
revive,レブロン
Revlon,取り消し
revocation,取り消す
revoke,反乱
revolt,反乱
revolted,革命
revolution,革命的
revolutionary,革命を起こす
revolutionize,回転する
revolve,回転した
revolved,リボルバー
revolver,リボルビング
revolving,レビュー
revue,嫌悪
revulsion,褒賞
reward,実りある
rewarding,rewatch
rewatch,巻き戻し
rewind,配線し直す
rewire,再加工する
rework,リライト
rewrite,書き直し
rewrote,レックス
rex,レイノルド
Reynold,横紋筋肉腫
rhabdomyosarcoma,熱狂的な
rhapsodic,熱狂的に語る
rhapsodize,ラプソディ
rhapsody,赤毛猿
rhesus,レトリック
rhetoric,修辞的な
rhetorical,修辞
rhetorically,リウマチの
rheumatic,リウマチ
rheumatism,リウマチ
rheumatoid,リウマチ学
rheumatology,ライン川
Rhine,ラインストーン
rhinestone,サイ
rhino,サイ
rhinoceros,ライノウイルス
rhinovirus,根粒菌
rhizobial,根粒菌
rhizobium,ロー
rho,ローダミン
Rhodamine,ロード
Rhode,シャクナゲ
rhododendron,ローヌ川
Rhone,ルバーブ
rhubarb,韻
rhyme,リズム
rhythm,リズミカルな
rhythmic,リズミカル
rhythmical,リズミカルに
rhythmically,リズミカル
rhythmicity,RI
RI,リアルト
rialto,リブ
rib,下品な
ribald,リボン
ribbon,胸郭
ribcage,リボフラビン
riboflavin,リボヌクレアーゼ
ribonuclease,リボ核タンパク質
ribonucleoprotein,リボソームの
ribosomal,リボソーム
ribosome,リボザイム
ribozyme,コスタリカの
Rican,米
rice,リッチ
rich,リチャード
Richard,リチャードソン
Richardson,豊かな
richer,富
riches,裕福な
richest,豊かに
richly,リッチモンド
Richmond,豊かさ
richness,リック
rick,くる病
rickets,リケッチア
rickettsia,ガタガタの
rickety,リッキー
rickey,プエルトリコ
Rico,跳ね返る
ricochet,リコッ??タ
ricotta,取り除く
rid,救出
riddance,に乗った
ridden,なぞなぞ
riddle,だらけ
riddled,乗り心地
ride,ライダー
rider,尾根
ridge,冷やかし
ridicule,ばかげた
ridiculous,ばかばかしいほど
ridiculously,ライディング
riding,リーマン
Riemann,リースリング
riesling,はびこって
rife,リフ
riff,さざ波
riffle,ライフル
rifle,リフト
rift,リグ
rig,リガ
Riga,リゲル
Rigel,右
right,正しい　
righteous,正義
righteousness,正当な
rightful,当然
rightfully,右派の
rightist,正しく
rightly,ライツ
rights,右腕投手
righty,リジッド
rigid,剛性
rigidity,堅く
rigidly,厳しさ
rigor,厳格な
rigorous,厳密に
rigorously,絶対条件
rigueur,アムステルダム国立??美術館
Rijksmuseum,rile
rile,ライリー
Riley,リム
rim,霜
rime,RIMM
RIMM,皮
rind,リング
ring,環状の
ringed,リンガー
ringer,リンギット
ringgit,共鳴
ringing,首謀者
ringleader,リングレット
ringlet,リングマスター
ringmaster,リング
rings,リングサイド
ringside,リンク
rink,リンス
rinse,リンス
rinsed,リオ
Rio,暴動
riot,暴民
rioter,暴動
rioting,騒々しい
riotous,RIP
rip,熟した
ripe,熟す
ripen,リポスト
riposte,リッパー
ripper,リッピング
ripping,リップル
ripple,RISC
RISC,スタイリッシュ 
risch,上昇
rise,上昇
risen,ライザー
riser,笑える
risible,上昇
rising,リスク
risk,リスクの高い　
riskier,危険な
risky,リゾット
risotto,リスペリドン
risperidone,儀式
rite,儀式
ritual,儀式的な
ritualistic,リッツ
ritz,豪華な
ritzy,ライバル
rival,競争
rivalry,割れる
rive,分裂した
riven,川
river,リベラ
Rivera,河岸
riverbank,リバーフロント
riverfront,川辺
riverside,リベット
rivet,リベット打ち
riveting,リビエラ
Riviera,リヤド
Riyadh,リヤル
riyal,ご飯
riz,RLK
RLK,RNA
RNA,リボヌクレアーゼ
RNase,リボヌクレアーゼH
RNaseH,ゴキブリ
roach,道路
road,バリケード
roadblock,道路のない
roadless,ロードマップ
roadmap,道端
roadside,ロードスター
roadster,車道
roadway,ローム
roam,とどろき
roar,轟音
roared,活発な
roaring,ロースト
roast,ロースト
roasted,盗む
rob,強盗
robber,強盗
robbery,ロビー
Robby,ローブ
robe,まとった 
robed,ロバート
Robert,ロバートソン
Robertson,ロビン
robin,ロビンソン
Robinson,ロボット
robot,ロボットの
robotic,堅牢な
robust,確実に
robustly,頑健性
robustness,ROC
roc,ロッシュ
Roche,ロチェスター
Rochester,岩
rock,ロックフェラー
Rockefeller,ロッカー
rocker,ロケット
rocket,ロケット工学
rocketry,ロックランド
Rockland,ロックビル
Rockville,ロッキー
rocky,ロココ
rococo,ロッド
rod,齧歯類
rodent,ロデオ
Rodeo,Rodham
Rodham,ロダン
Rodin,ロドリゲス
Rodriguez,ROE
ROE,ローバック
roebuck,ロジャー
roger,ならず者
rogue,いたずらっぽい　
roguish,かき乱す
roil,役割
role,ロレックス
Rolex,ロール
roll,ロールバック
rollback,ローラー
roller,はしゃぎ回る
rollick,圧延
rolling,ROM
ROM,ロマ
Roma,ロマイン
romaine,ローマン
Roman,ロマンス
romance,ロマネスク様式
Romanesque,ルーマニア
Romania,ルーマニア語
Romanian,ロマンチック
romantic,ロマンチックに
romantically,ロマン主義
romanticism,美化
romanticize,ローマ
Rome,ロミオ
Romeo,楽勝
romp,ロン
Ron,ロナルド
Ronald,カンガルー
roo,屋根
roof,ルーフィング
roofing,屋上
rooftop,ルーク
rook,ルーキー
rookie,部屋
room,部屋いっぱい
roomful,ルームメイト
roomie,ルームメイト
roommate,広々とした
roomy,ルーズベルト
Roosevelt,ねぐら
roost,おんどり
rooster,ルート
root,ロープ
rope,ロープ
roped,ロザリンド
Rosalind,ロザリオ
rosary,ローズ
rose,バラのつぼみ
rosebud,ローズマリー
rosemary,ローゼンバーグ
Rosenberg,ローゼンタール
Rosenthal,ロゼッタ
Rosetta,ロゼット
rosette,バラ水
rosewater,ローズウッド
rosewood,ロジン
rosin,ロス
Ross,ロッシーニ
Rossini,名簿
roster,演壇
rostrum,楽観的な
rosy,腐敗
rot,当番表
rota,ロータリー
rotary,回転させる
rotate,回転
rotation,回転の
rotational,回転子
rotator,ロタウイルス
rotavirus,ROTC
ROTC,まる暗記
rote,ロスチャイルド
Rothschild,焼肉料理店
rotisserie,ローター
rotor,腐った
rotten,丸い　
rotund,ロタンダ
rotunda,ルーアン
Rouen,ルージュ
rouge,ラフ
rough,粗い　
rougher,ばか騒ぎ
roughhouse,おおよそ
roughly,悪党
roughneck,粗さ
roughness,ルーレット
roulette,ラウンド
round,ラウンドアバウト
roundabout,丸みを帯びた
rounded,roundelay
roundelay,ラウンダー
rounder,大振りの
roundhouse,丸く
roundly,円卓会議
roundtable,往復
roundtrip,切り上げる
roundup,回虫
roundworm,ラウズ
rouse,ルソー
Rousseau,敗走
rout,ルート
route,ルータ
router,ルーチン
routine,日常的に
routinely,さまよう
rove,ローバー
rover,ロービング
roving,行
row,ナナカマド
rowan,漕ぎ舟
rowboat,乱暴な
rowdy,漕ぎ手
rower,ローイング
rowing,ロイ
Roy,ロイヤル
royal,王党派
royalist,王族
royalty,ロイス
Royce,RP
RP,RPM
RPM,rRNAを
rRNA,南アフリカ共和国
RSA,RSS
RSS,回答下さい
RSVP,RT
RT,こする
rub,ラバー
rubber,ゴム
rubbery,ごみ
rubbish,瓦礫
rubble,ルーブ
rube,ルビン
Rubin,ルーブル
ruble,見出し
rubric,ルビー
ruby,ラック
ruck,騒動
ruckus,ラダー
rudder,血色の良い　
ruddy,無礼な
rude,荒々しく
rudely,無礼
rudeness,基本的な
rudimentary,ルドルフ
Rudolph,後悔する
rue,悲しそうな
rueful,残念そうに
ruefully,ラフ
ruff,ラフィアン
ruffian,フリル
ruffle,ラグ
rug,ラグビー
rugby,頑丈な
rugged,破滅
ruin,破滅的な
ruinous,ルイス
Ruiz,ルール
rule,rulemake
rulemake,ルーラー
ruler,判決
ruling,ラム酒
rum,ルンバ
rumba,ランブル
rumble,鳴動
rumbling,反すう動物
ruminant,反芻
ruminate,反芻
