t,TA
these,テーセウス
Theseus,論文
thesis,俳優
thespian,シータ
theta,彼ら
they,チアミン
thiamine,チアジド
thiazide,厚い
thick,濃くする
thicken,厚くなった
thickened,厚い　
thicker,茂み
thicket,厚く
thickly,厚さ
thickness,ずんぐりした
thickset,泥棒
thief,盗む
thieve,窃盗
thievery,もも
thigh,指ぬき
thimble,薄い
thin,ザイン
thine,事
thing,物事
things,アレ
thingy,考える
think,思想家
thinker,思考
thinking,薄く
thinly,シンナー
thinner,薄さ
thinness,チオール
thiol,チオ硫酸塩
thiosulfate,第3
third,第3に
thirdly,のどの渇き
thirst,喉が渇いた
thirsty,13
thirteen,第13
thirteenth,第30
thirtieth,30
thirty,30代の
thirtysomething,この
this,アザミ
thistle,カントー
tho,トーマス
Thomas,トンプソン
Thompson,トムソン
Thomson,革の細ひも
thong,胸の
thoracic,胸部
thorax,とげ
thorn,厄介な
thorny,徹底した
thorough,サラブレッド
thoroughbred,大通り
thoroughfare,徹底的に
thoroughly,徹底
thoroughness,それら
those,汝
thou,しかし
though,考え
thought,思いやりのある
thoughtful,思慮深く
thoughtfully,心遣い
thoughtfulness,軽率な
thoughtless,軽率に
thoughtlessly,1,000
thousand,数千
thousands,第1000
thousandth,THR
THR,スロール
thrall,スラッシュ
thrash,スラッシャー
thrasher,スレッド
thread,ネジ付き
threaded,Threadsuck
Threadsuck,脅威
threat,脅す
threaten,脅迫的な
threatening,3
three,3倍に
threefold,三人組
threesome,トレオニン
threonine,しきい値
threshold,3回
thrice,倹約
thrift,スリフティ
thrifty,スリル
thrill,スリラー
thriller,スリリング
thrilling,繁栄する
thrive,喉
throat,ハスキー
throaty,ドキドキ
throb,苦しみ
throes,トロンビン
thrombin,血小板減少症
thrombocytopenia,血栓塞栓症の
thromboembolic,血栓症
thrombosis,トロンボスポンジン
thrombospondin,王位
throne,群衆
throng,スロットル
throttle,を通して
through,ずっと
throughout,スループット
throughput,投げる
throw,捨てる
throwaway,先祖返り
throwback,投げる人
thrower,スルー
thru,ツグミ
thrush,スラスト
thrust,木
Thu,ドスンという音
thud,凶悪犯
thug,殺人
thuggery,親指
thumb,サムネイル
thumbnail,サムサッカー
thumbsucker,強打
thump,サンダー
thunder,サンダーバード
thunderbird,落雷
thunderbolt,雷鳴
thunderclap,入道雲
thunderhead,雷のような
thunderous,雷雨
thunderstorm,木
Thur,チューリンゲンシス
Thuringiensis,木曜日
Thursday,このようにして
thus,次いで、こうして
thusly,ぴしゃりと打つ
thwack,阻止する
thwart,汝の
thy,タイム
thyme,胸腺の
thymic,チミジン
Thymidine,チミン
thymine,胸腺細胞
thymocyte,胸腺
thymus,甲状腺
thyroid,汝自身
thyself,テキサス・インストルメンツ
TI,天津
Tianjin,ティアラ
tiara,ティベリア
Tiberias,チベット
Tibet,チベット語
Tibetan,脛骨
tibia,チック
tic,ダニ
tick,ティッカー
ticker,チケット
ticket,チケットマスター
ticketmaster,くすぐる
tickle,くすぐられた
tickled,くすぐったい　
ticklish,ticktock
ticktock,潮の
tidal,珍味
tidbit,潮
tide,きちんとした
tidy,結合する
tie,タイブレーク
tiebreaker,ティエポロ
Tiepolo,層
tier,段になった
tiered,ちょっとしたけんか
tiff,ティファニー
Tiffany,鬼ごっこ
tig,虎
tiger,タイト
tight,締め付ける
tighten,締め付け
tightening,タイト
tighter,しっかりと
tightly,危ない橋を渡る
tightrope,タイツ
tights,ゴマ
til,タイル
tile,タイル張りの
tiled,迄
till,耕運機
tiller,チルト
tilt,傾いた
tilted,TIM
TIM,木材
timber,音色
timbre,時間
time,タイムキーパー
timekeeper,時代を超えた
timeless,タイムライン
timeline,適時性
timeliness,タイムリー
timely,時計
timepiece,タイマー
timer,タイムズ
Times,タイムスケール
timescale,時刻表
timetable,臆病な
timid,臆病
timidity,タイミング
timing,ティミー
Timmy,ティモール島
Timor,ティモール
Timorese,おどおどした
timorous,オオアワガエリ
timothy,TIMP
TIMP,スズ
tin,ティナ
Tina,チンキ剤
tincture,火口箱
tinderbox,歯
tine,アルミ箔
tinfoil,ティン
ting,色合い
tinge,うずき
tingle,チクチクする
tingly,最も小さい　
tiniest,いじくり回す
tinker,工夫
tinkering,ちんちん
tinkle,耳鳴り
tinnitus,安っぽい　
tinny,うわべを飾る
tinsel,色合い
tint,薄い色のついた
tinted,小さな
tiny,先端
tip,ダンプ車
tipper,酒
tipple,タレコミ
tipster,ティプシー
tipsy,つま先
tiptoe,絶頂
tiptop,長広舌
tirade,ティラミス
tiramisu,タイヤ
tire,疲れた
tired,疲れを知らない
tireless,疲れを知らずに
tirelessly,退屈な
tiresome,生物の組織体
tissue,乳首
tit,タイタン
Titan,タイタニック
Titanic,チタン
titanium,力価
titer,十分の一
tithe,くすぐる
titillate,タイトル
title,滴定する
titrate,滴定
titrated,滴定
titration,忍び笑い
titter,点画
tittle,名ばかりの
titular,ティーボ
TiVo,TK
TK,TLC
TLC,TM
TM,TN
TN,TNF
TNF,TNT
TNT,へ
to,ヒキガエル
toad,口のうまい人
toady,トースト
toast,トースター
toaster,トーストの
toasty,タバコ
tobacco,トバゴ
Tobago,トボガン
toboggan,トビー
toby,トコフェロール
tocopherol,今日
today,トッド
Todd,toddle
toddle,幼児
toddler,トディ
toddy,つま先
toe,足掛かり
toehold,足指の爪
toenail,タフィー
toffee,豆腐
tofu,トーガ
toga,いっしょに
together,一体感
togetherness,トーゴ
Togo,労苦
toil,トイレ
toilet,トイレ
toilette,トークン
token,東京
Tokyo,言った
told,トール
tole,トレド
Toledo,耐えられる
tolerable,寛大
tolerance,トレラント
tolerant,耐える
tolerate,許容
tolerated,寛容
toleration,通行料金
toll,有料道路
tollway,トルストイ
Tolstoy,トルエン
toluene,トム
Tom,トマホーク
tomahawk,トマト
tomato,墓
tomb,おてんば娘
tomboy,墓石
tombstone,Tomcatの
tomcat,学術書
tome,ばかなまね
tomfoolery,トミー
Tommy,断層
tomographic,断層撮影法
tomography,明日
tomorrow,トン
ton,色調の
tonal,トーン
tone,トナー
toner,トング
tong,トンガ
Tonga,トング
tongs,舌
tongue,トニック
tonic,今夜
tonight,トン数
tonnage,へんとう腺
tonsil,緊張
tonus,トニー
Tony,もまた
too,ツール
tool,ツールボックス
toolbox,警笛を鳴らす
toot,歯
tooth,歯痛
toothache,歯ブラシ
toothbrush,歯がない
toothless,歯磨き粉
toothpaste,つまようじ
toothpick,おいしい　
toothsome,歯を見せる
toothy,だらだらした話
tootle,トッツィー
tootsie,トップ
top,トパーズ
topaz,装飾刈り込み法
topiary,トピック
topic,話題の
topical,トップレス
topless,トポ
Topo,地形学的な
topographic,地形
topographical,トポグラフィー
topography,トポイソメラーゼ
topoisomerase,トポロジー
topology,トッパー
topper,トッピング
topping,倒す
topple,トップス
tops,表土
topsoil,トーク
toque,TOR
tor,律法
torah,トーチ
torch,懐中電灯の明かり
torchlight,苦痛
torment,苦しめ
tormented,苦しめる人
tormentor,引き裂かれた
torn,竜巻
tornado,トロ
Toro,トロント
Toronto,魚雷
torpedo,無気力
torpor,トルク
torque,トル
Torr,トーランス
Torrance,急流
torrent,激しい　
torrential,熱烈な
torrid,ねじり
torsion,胴体
torso,不法行為
tort,トルティーヤ
tortilla,カメ
tortoise,曲がりくねった
tortuous,拷問
torture,拷問
tortured,拷問者
torturer,拷問の
torturous,トーラス
torus,トーリー
Tory,トスカ
Tosca,ナンセンス
tosh,トス
toss,子供
tot,合計
total,全体主義の
totalitarian,全体主義
totalitarianism,全体
totality,完全に
totally,荷物
tote,トーテム
Totem,トーテムの
totemic,よろめく
totter,触れる
touch,タッチダウン
touchdown,トウシュ
touche,触れる
touched,触れる
touching,試金石
touchstone,厄介な
touchy,タフ
tough,強化する
toughen,厳しい　
tougher,過酷な
toughest,タフネス
toughness,トゥールーズ
Toulouse,かつら
toupee,ツアー
tour,トゥーレット
tourette,観光
tourism,観光客
tourist,旅行者向けの
touristy,トーナメント
tournament,トーナメント
tourney,止血帯
tourniquet,客引き
tout,牽引する
tow,の方へ
toward,曳航
towed,タオル
towel,タワー
tower,そびえ立つ
towering,町
town,タウンハウス
townhouse,町の住民
townsfolk,タウンシップ
township,町民
townsman,町民
townspeople,毒性
toxic,毒物
toxicant,毒性
toxicity,毒物学
toxicology,毒素
toxin,おもちゃ
toy,おもちゃに
toyed,トヨタ
Toyota,TP
TP,TR
TR,小柱
trabecular,トレース
trace,トレーサブル
traceable,トレーサー
tracer,網目模様
tracery,気管
trachea,気管の
tracheal,トラコーマ
trachomatis,トレーシング
tracing,トラック
track,追跡者
tracker,追跡
tracking,道
tract,扱いやすい　
tractable,牽引力
traction,トラクター
tractor,トレイシー
Tracy,貿易
trade,商標
trademark,トレード?オフ
tradeoff,トレーダー
trader,トレード
trades,商人
tradesman,取引
trading,伝統
tradition,伝統的な
traditional,伝統主義者
traditionalist,伝統的に
traditionally,TRAF
TRAF,トラファルガー
Trafalgar,トラフィック
traffic,密売人
trafficker,トラフィッキング
trafficking,悲劇
tragedy,悲劇的な
tragic,悲劇的に
tragically,トレイル
trail,先駆者
trailblazer,トレーラー
trailer,列車
train,研修生
trainee,トレーナー
trainer,トレーニング
training,足を棒にして歩き回る
traipse,形質
trait,裏切り者
traitor,軌跡
trajectory,トラム
tram,放浪者
tramp,踏みにじる
trample,トランポリン
trampoline,路面軌道
tramway,昏睡状態
trance,静かな
tranquil,静けさ
tranquility,精神安定剤
tranquilizer,静けさ
tranquillity,トランス
trans,処理する
transact,トランザクション
transaction,をトランス
transactivate,トランス活性化
transactivation,トランス活性化因子
transactivator,アミノ基転移酵素
transaminase,大西洋横断の
transatlantic,超越する
transcend,超越
transcended,超越
transcendence,超越的な
transcendent,超越的
transcendental,大陸横断の
transcontinental,書き写す
transcribe,転写
transcribed,転写物
transcript,転写酵素
transcriptase,転写
transcription,転写の
transcriptional,転写
transcriptionally,トランスクリプトーム
transcriptome,形質導入する
transduce,形質導入
transduced,トランスデューサー
transducer,形質導入
transduction,横断する
transect,翼廊
transept,トランスフェクタント
transfectant,トランスフェクト
transfected,トランスフェクション
transfection,転送
transfer,譲渡可能
transferable,トランスフェラーゼ
transferase,移動
transference,突き刺す
transfix,変換
transform,形質転換細胞
transformant,変換
transformation,変形させる
transformative,トランス
transformer,輸血
transfusion,トランスジェンダー
transgender,トランスジェンダー
transgendered,導入遺伝子
transgene,トランスジェニックの
transgenic,罪を犯す
transgress,罪
transgression,慣習に逆らう
transgressive,罪人
transgressor,はかなさ
transience,トランジェント
transient,一時的に
transiently,トランジスタ
transistor,トランジット
transit,トランジション
transition,過渡的
transitional,他動詞
transitive,一時的な
transitory,翻訳可能な
translatable,翻訳する
translate,翻訳
translation,翻訳の
translational,翻訳者
translator,音訳
transliteration,カーゼ
translocase,転位
translocate,転座
translocation,半透明の
translucent,貫??通
transmembrane,送信
transmission,送信する
transmit,伝送
transmittal,トランスミッタ
transmitter,一変させる
transmogrify,変える
transmute,国境を越えた
transnational,欄間(らんま)
transom,透明
transparency,トランスペアレント
transparent,透過的に
transparently,発散する
transpire,移植
transplant,移植
transplantation,トランスポンダ
transponder,輸送
transport,交通
transportation,トランスポーター
transporter,転位可能な
transposable,入れ替える
transpose,転置された
transposed,転置
transposition,トランスポゾン
transposon,性転換者
transsexual,聖変化
transubstantiation,横の
transverse,服装倒錯者
transvestite,トラップ
trap,トラップドア
trapdoor,トラピーズ
trapeze,台形
trapezoid,トラッパー
trapper,象徴
trappings,ごみ
trash,ゴミ箱に移動
trashed,トラッシング
trashing,くだらない　
trashy,外傷
trauma,外傷性の
traumatic,傷つける
traumatize,苦労
travail,旅行
travel,旅
traveled,旅行者
traveler,旅
travelled,旅行者
traveller,紀行
travelogue,旅行
travels,トラバース
traverse,トラバース
traversed,茶番
travesty,トロール
trawl,トロール漁船
trawler,トレイ
tray,危険な
treacherous,裏切り
treachery,トレッド
tread,トレッドミル
treadmill,反逆
treason,宝
treasure,秘蔵
treasured,会計
treasurer,国庫
treasury,扱う
treat,治療可能な
treatable,治療
treating,論文
treatise,治療
treatment,条約
treaty,トレブル
treble,木
tree,こずえ
treetop,集団移住
trek,トレッキング
trekking,トレリス
trellis,震える
tremble,途方もない
tremendous,途方もなく
tremendously,震え
tremor,震える
tremulous,トレンチ
trench,痛烈な
trenchant,トレンド
trend,トレンドセッター
trendsetter,トレンディー
trendy,トレント
Trent,不安
trepidation,不法侵入
trespass,不法侵入
trespassing,トレス
tress,トレイ
trey,トライ
tri,トライアド
triad,トリアージ
triage,公判
trial,三角形
triangle,三角
triangular,三角測量する
triangulate,三角測量
triangulation,トライアスロン
triathlon,トライバル
tribal,部族
tribe,トライベッカ
Tribeca,部族の一員
tribesman,試練
tribulation,法廷
tribunal,トリビューン
Tribune,支流
tributary,賛辞
tribute,トリケラトプス
triceratops,トリック
trick,だまされた
tricked,ぺてん
trickery,トリクル
trickle,トリックスター
trickster,トリッキー
tricky,三尖弁の
tricuspid,三輪車
tricycle,トライデント
trident,トライ
trie,試してみた
tried,最善を尽くす人
trier,三連勝単式
trifecta,ささいなこと
trifle,三角法
trig,三叉神経の
trigeminal,トリガー
trigger,トリグリセリド
triglyceride,三角法
trigonometry,三辺の
trilateral,トリル
trill,1兆
trillion,3部作
trilogy,トリム
trim,トリンブル
Trimble,学期
trimester,トリマー
trimmer,トリミング
trimming,三つの部分から成る
trinary,トリニダード
Trinidad,三位一体
trinity,トリンケット
trinket,トリオ
trio,凱旋門
Triomphe,旅
trip,三者
tripartite,くだらない話
tripe,トリペプチド
tripeptide,三リン酸塩
triphosphate,トリプル
triple,三つ子
triplet,三重
triplicate,3倍体
triploid,三脚
tripod,トリップ
Tripp,トリッパー
tripper,トリプティク
triptych,トリス
Tris,陳腐な
trite,トリトン
Triton,勝利
triumph,勝利の
triumphal,勝ち誇った
triumphant,勝ち誇って
triumphantly,三頭政治
triumvirate,トリビア
trivia,ささいな
trivial,つまらないこと
triviality,矮小
trivialize,のTRIzol
TRIzol,のtRNA
tRNA,trod
trod,隠者
troglodyte,トロイカ
troika,トロイの
Trojan,トロール
troll,トロリー
trolley,トロンボーン
trombone,殴る
tromp,トロンプ
trompe,トロン
tron,軍隊
troop,トルーパー
trooper,軍
troops,トロープス
trope,栄養の
trophic,栄養膜
trophoblast,絨毛
trophoblastic,栄養体
trophozoite,トロフィー
trophy,熱帯
tropic,トロピカル
tropical,トロピカーナ
tropicana,熱帯
tropics,早駆け
trot,速歩で駆ける馬
trotter,吟遊詩人
troubadour,トラブル
trouble,困った
troubled,トラブルメーカー
troublemaker,トラブルシュータ
troubleshooter,厄介な
troublesome,厄介な
troubling,トラフ
trough,trounce
trounce,劇団
troupe,演芸者
trouper,ズボン
trouser,ズボン
trousers,マス
trout,発見物
trove,こて
trowel,トロイ
Troy,TRP
TRP,不登校
truancy,不登校児
truant,休戦
truce,トラック
truck,トラック運転手
trucker,トラック輸送
trucking,トラック輸送
truckload,好戦的な
truculent,重い足取り
trudge,真の
true,真実
truer,トリュフ
truffle,自明の理
truism,本当に
truly,トルーマン
Truman,切り札
trump,捏造
trumped,トランペット
trumpet,吹聴
trumpeted,トランペッター
trumpeter,切り捨てる
truncate,切断された
truncated,切り捨て
truncation,警棒
truncheon,転がす
trundle,トランク
trunk,トラス
truss,信頼
trust,trustbuster
trustbuster,受託者
trustee,信じて疑いない
trusting,信頼性
trustworthiness,信頼できる
trustworthy,信頼できる
trusty,真実
truth,誠実な
truthful,正直に
truthfully,試す
try,辛い
trying,試してみる
tryout,トリパン
Trypan,トリプシン
trypsin,トリプシン処理
trypsinization,トリプシン処理
trypsinized,トリプトファン
tryptophan,逢い引き
tryst,皇帝
tsar,東証
TSE,TSS
TSS,津波
tsunami,TTP
TTP,TTT
TTT,浴槽
tub,チューバ
tuba,デブ
tubby,チューブ
tube,塊茎
tuber,結節
tubercle,結核
tuberculosis,塊茎のある
tuberous,tubeworm
tubeworm,チューブラー
tubular,尿細管
tubule,タック
tuck,折り込んだ
tucked,タッカー
tucker,チューダー
Tudor,火曜
Tue,火曜日
Tuesday,凝灰岩
tuff,タフト
tuft,強く引っ張る
tug,タグボート
tugboat,授業料
tuition,チューリップ
tulip,チュール
tulle,おなか
tum,タンブル
tumble,タンブルウィード
tumbleweed,宙返り
tumbling,おなか
tummy,腫瘍
tumor,腫瘍形成
tumorigenesis,腫瘍形成性の
tumorigenic,腫瘍原性
tumorigenicity,腫瘍
tumour,騒動
tumult,騒々しい　
tumultuous,タン
tun,マグロ
tuna,ツンドラ
tundra,曲
tune,音を奏でる
tuneful,チューナー
tuner,チュニック
tunic,チュニカ族
Tunica,チュニジア
Tunisia,トンネル
tunnel,マグロ
tunny,テューペロ
Tupelo,タッパーウェア
tupperware,ターバン
turban,タービン
turbine,ターボ
turbo,ターボプロップ
turboprop,乱流
turbulence,荒れ狂う
turbulent,糞
turd,蓋付きの深皿
tureen,芝
turf,腫れ上がった
turgid,トゥーリン
Turin,トルコ人
Turk,トルコ
Turkey,トルコ語
Turkish,トルクメニスタン
Turkmenistan,ウコン
turmeric,混乱
turmoil,順番
turn,転換
turnabout,振り向く
turnaround,裏切り者
turncoat,ターナー
turner,旋回
turning,カブ
turnip,ターンキー
turnkey,消す
turnoff,消す
turnout,売上高
turnover,ターンパイク
turnpike,回転ドア
turnstile,ターンテーブル
turntable,テレビン油
turpentine,ターコイズ
turquoise,タレット
turret,小塔のある
turreted,カメ
turtle,キジバト
turtledove,タートルネック
turtleneck,タスカルーサ
Tuscaloosa,トスカーナ
Tuscan,トスカーナ州
Tuscany,牙
tush,牙
tusk,取っ組み合い
tussle,タット
tut,後見
tutelage,家庭教師
tutor,チュートリアル
tutorial,チュチュ
tutu,ツバル
Tuvalu,タキシード
tux,タキシード
tuxedo,テレビ
TV,無駄口
twaddle,トゥエイン
twain,鼻声訛り
twang,鼻声の
twangy,微調整
tweak,微調整
tweaked,微調整
tweaking,気取った
twee,ツイード
tweed,ツイードの
tweedy,トゥイーン
tween,ツイート
tweet,ツイーター
tweeter,ピンセット
tweezers,第12
twelfth,12
twelve,第20
twentieth,20
twenty,20代
twentysomething,2回
twice,ひねり
twiddle,小枝
twig,ツイギー
twiggy,夕暮れ
twilight,ツイル
twill,双子
twin,より糸
twine,ズキズキする痛み
twinge,きらきら
twinkle,クルクル回す
twirl,寝違える
twist,ねじれた
twisted,ツイスター
twister,なじる
twit,けいれん
twitch,引きつった
twitchy,さえずり
twitter,2
two,2倍
twofold,TWoP
TWoP,二人組
twosome,TX
TX,野良犬
tyke,タイレノール
tylenol,タイラー
